,e,s,i1,i2,c,r,d,compliance,contacts
0,299,99075,307,322,0,0,0,0.006537412884330282,16.55401129357044
1,604,98770,253,276,1,99,0,0.008138111677297125,16.444592587292046
2,904,98470,221,238,3,167,0,0.013540173697471129,16.403109251723166
3,1126,98248,163,190,7,269,0,0.01637748736102412,16.33549128937763
4,1007,98068,310,262,9,347,0,0.019650815291979786,16.288501874274154
5,1132,97943,266,211,12,439,0,0.023424888705158402,16.24606237281591
6,1070,97700,436,261,15,521,0,0.0256054884330539,16.18947599735968
7,963,97507,571,333,18,611,0,0.02951536296759743,16.15735370737875
8,1103,97145,712,414,18,611,0,0.03244268908443065,16.10014436818519
9,1381,96687,829,477,18,611,0,0.03648604818844548,16.051453840913183
10,1792,96151,905,526,18,611,0,0.040321698676014865,15.988046847435289
11,2125,95575,1050,624,18,611,0,0.04459343659480634,15.924140504147038
12,2512,94995,983,585,25,903,0,0.049474895200342074,15.859400764529445
13,2835,94310,1213,717,24,904,0,0.05330934098141327,15.782686525028403
14,2990,93697,1289,794,25,1208,0,0.05913403152222351,15.724278537897984
15,3155,92996,1425,894,29,1504,0,0.06362931477636906,15.635624831661714
16,3476,92099,1649,1024,30,1724,1,0.06996661296613806,15.562605119160228
17,3769,91226,1879,1194,29,1903,3,0.07606870315965339,15.465062181132245
18,4040,90270,2265,1368,29,2027,4,0.08344969589024079,15.365539543541498
19,4556,89141,2480,1523,31,2268,4,0.09128876491185312,15.253398489168228
20,5071,87925,2780,1731,36,2456,4,0.09973261025807732,15.132066492579026
21,5408,86691,3095,1951,43,2811,4,0.10928194334969486,15.005961996449145
22,5901,85325,3338,2123,49,3263,4,0.11941423215468949,14.865120583408633
23,6439,83831,3615,2266,58,3790,4,0.1300862890356689,14.713496954995808
24,6887,82254,3925,2509,57,4367,4,0.1412809413514709,14.56145924152802
25,7273,80652,4328,2742,69,4935,4,0.15322788725661132,14.411095926709875
26,7721,78970,4647,2972,74,5615,4,0.1653508625092819,14.247543650299317
27,8148,77177,5100,3272,74,6226,6,0.17816559553043138,14.082693304510085
28,8471,75360,5587,3578,83,6918,6,0.19173865805962836,13.915535873260719
29,8837,73417,6008,3837,97,7801,6,0.20566928129304923,13.734577237602776
30,9248,71404,6442,4132,103,8668,6,0.220230060032073,13.55159403301989
31,9612,69358,6874,4426,115,9609,9,0.23515892267547095,13.369101404162285
32,9903,67274,7312,4652,133,10719,10,0.2502237874194096,13.181765781834356
33,10187,65173,7682,4883,146,11921,11,0.2654290484043787,12.997481478081854
34,10385,63032,8114,5160,166,13134,12,0.2803986174335258,12.820096392368104
35,10530,60874,8540,5381,174,14489,15,0.29529894733933437,12.647047040695147
36,10608,58750,8896,5577,177,15977,18,0.3095813196540914,12.471595572776522
37,10635,56639,9222,5758,182,17541,26,0.32371954417161974,12.313344441328306
38,10620,54553,9566,5913,201,19120,30,0.3369483602845261,12.161327882040734
39,10487,52545,9852,6086,219,20781,33,0.34955191216280823,12.019451839604356
