,e,s,i1,i2,c,r,d,compliance,contacts
0,314,99075,312,302,0,0,0,0.8785930195219724,8.590777814606298
1,485,98904,274,263,0,77,0,0.8788147599410968,8.58793125684716
2,659,98730,222,223,1,168,0,0.8788229597065369,8.587300375777108
3,805,98584,182,183,3,246,0,0.8789597745976133,8.586419951183952
4,624,98451,334,261,5,328,0,0.878739025977776,8.586745497216205
5,743,98332,295,217,10,406,0,0.8788469391314124,8.58710868413698
6,710,98194,359,237,13,490,0,0.8788284544091001,8.58582056876032
7,657,98073,407,252,14,600,0,0.8790930031683717,8.58650003597546
8,725,97859,495,310,14,600,0,0.8790372063510119,8.585120601408295
9,831,97620,581,357,14,600,0,0.8790422691229108,8.585276131987177
10,950,97382,658,399,14,600,0,0.8790738450441963,8.584966672540597
11,1050,97144,745,450,14,600,0,0.8791414135363508,8.584960816828294
12,1147,96926,628,374,19,909,0,0.8795291167260827,8.583384179254285
13,1165,96694,759,457,19,909,0,0.8793555745125615,8.58176731148518
14,1105,96515,810,474,20,1078,1,0.856119082305312,8.62187722204807
15,1074,96308,855,493,20,1252,1,0.8526171023275234,8.747895254717037
16,1070,96074,916,524,21,1395,3,0.8475739580256446,8.78108955094853
17,1086,95840,961,564,19,1530,3,0.8459493280898784,8.806354372542552
18,1089,95605,1031,607,18,1649,4,0.8450149110740041,8.817425206899038
19,1137,95378,1055,624,19,1786,4,0.8446744607364689,8.821544009327278
20,1216,95092,1115,650,19,1907,4,0.8444167018337853,8.823378045044972
21,1266,94808,1137,648,20,2120,4,0.8441801635785318,8.824645496035494
22,1341,94499,1121,659,24,2355,4,0.8443504610526,8.825599568588697
23,1408,94197,1107,670,25,2592,4,0.8445445309954727,8.824132833748228
24,1473,93905,1097,669,20,2835,4,0.8443401660638187,8.822824781694154
25,1503,93589,1141,693,22,3051,4,0.8443889158057396,8.823644185038333
26,1493,93315,1172,714,22,3283,4,0.8443365210289002,8.823376645533632
27,1525,92974,1250,766,23,3461,4,0.8444871026385898,8.82269215634628
28,1525,92672,1301,810,23,3668,4,0.8444108725705225,8.822475715545842
29,1615,92290,1315,854,23,3901,5,0.8444273621032472,8.82281656013758
30,1645,91944,1358,893,25,4133,5,0.8446068056240988,8.822500717247113
31,1779,91536,1388,902,25,4367,6,0.8447262931344546,8.821262047214566
32,1813,91161,1474,930,32,4587,6,0.8447215448763035,8.818200929811681
33,1896,90776,1501,919,31,4873,7,0.8446792857731814,8.818805291597213
34,1851,90439,1561,957,30,5157,8,0.844660374797554,8.817261722456918
35,1866,90078,1587,968,32,5464,8,0.8449792599115387,8.816103094069568
36,1866,89670,1648,1013,38,5760,8,0.8450902555503885,8.814497338885115
37,1859,89302,1714,1030,40,6049,9,0.8449737470560463,8.814200473988116
38,1866,88910,1775,1038,42,6363,9,0.844999149040708,8.814629468496342
39,1967,88472,1804,1072,41,6636,11,0.8452674910836345,8.814319357246998
40,2034,88044,1802,1094,45,6972,12,0.845087529868822,8.814065352756336
41,2076,87594,1837,1165,46,7273,12,0.8454341392425766,8.813258982767419
42,2123,87179,1840,1148,46,7655,12,0.8454509732019515,8.811461944209894
43,2155,86755,1880,1154,45,8002,12,0.8454725411990488,8.810985956121074
44,2137,86335,1906,1158,41,8414,12,0.8455159710012947,8.810046771225753
45,2157,85887,1934,1183,45,8785,12,0.821932457178128,8.85249291444954
46,2192,85402,1949,1233,48,9166,13,0.8182287010614827,8.985057039488558
47,2226,84953,2029,1231,49,9502,13,0.813471345444315,9.020026477451
48,2320,84435,2066,1257,50,9860,15,0.8115378916995454,9.045171796900032
49,2405,83930,2076,1259,54,10262,17,0.8106876843732473,9.057012877500368
50,2449,83438,2135,1280,56,10625,20,0.8103774919088148,9.061667588523717
51,2495,82907,2179,1329,58,11014,21,0.8099439690898291,9.064870178422629
52,2536,82417,2170,1349,60,11449,22,0.786183447218723,9.110677237446152
53,2548,81887,2237,1372,61,11875,23,0.7825394821049255,9.250233271407668
54,2541,81389,2277,1387,66,12320,23,0.7776920609527527,9.283664985497415
55,2585,80853,2300,1441,67,12733,24,0.7759717527395203,9.311483944937986
56,2625,80282,2363,1485,72,13151,25,0.7750752753919758,9.323552685541674
57,2698,79719,2415,1503,72,13570,26,0.774631736181126,9.329441354483059
58,2724,79163,2437,1563,71,14018,27,0.7744271645712113,9.33107524926942
59,2792,78597,2433,1580,75,14499,27,0.7746315610532251,9.331759359135122
60,2863,77990,2515,1585,75,14947,28,0.7748028462334363,9.329618984463368
61,2886,77396,2552,1601,70,15468,30,0.7747913649363741,9.328134178471563
62,2943,76776,2590,1621,70,15973,30,0.7747089601964051,9.329133869903456
63,2972,76191,2639,1636,69,16465,31,0.7749372068303028,9.328417541945937
64,2996,75601,2677,1633,67,16997,32,0.7750250190603498,9.32755450782217
65,3016,74974,2736,1691,67,17487,32,0.7749471706763577,9.326734761492801
66,2990,74406,2764,1727,66,18017,33,0.7752603537766793,9.326955394946118
67,2947,73829,2858,1755,70,18510,34,0.7753137862497352,9.32562683199683
68,2992,73199,2860,1802,67,19049,34,0.7752088286700032,9.325477496214988
69,2969,72632,2862,1819,67,19619,35,0.7751604485191482,9.326029668349355
70,2937,72037,2904,1841,72,20177,35,0.7753878918036141,9.325254315670492
71,2955,71451,2905,1852,73,20728,39,0.7755553254558463,9.324503169482552
72,3002,70827,2910,1858,73,21291,42,0.7756896587769551,9.32357882995064
73,3011,70188,2947,1844,81,21889,43,0.7755888685824437,9.323471664246112
74,3044,69588,2949,1815,81,22482,44,0.7756910049167387,9.323567519798395
75,3055,68982,2922,1817,87,23096,44,0.7756398488220919,9.323376741255466
76,3084,68367,2947,1793,84,23683,45,0.7756509334089431,9.32372240544698
77,3081,67746,2971,1803,90,24267,45,0.7754106449245215,9.32406192605048
78,3041,67147,2986,1800,92,24891,46,0.7757760490027538,9.325129440691661
79,3020,66568,3021,1797,95,25455,47,0.77556097264421,9.324441112958596
80,2975,66007,3023,1824,96,26026,52,0.7755284516596037,9.326342700809656
81,2888,65479,3007,1825,103,26649,52,0.7754989685103267,9.325744373288826
82,2827,64919,3016,1870,100,27218,53,0.7757070364918048,9.325195773615631
83,2788,64359,3034,1856,98,27811,57,0.7759087055032059,9.324923758364312
84,2714,63854,3022,1861,101,28393,58,0.7757652147443368,9.322017230841388
85,2719,63288,2983,1837,100,29016,60,0.7758688096667483,9.323856739513396
86,2706,62773,2916,1793,101,29650,64,0.7995122588437831,9.278369446156074
87,2656,62263,2870,1799,101,30246,68,0.8028285600069827,9.139378527242126
88,2565,61794,2849,1774,110,30841,70,0.807895450131907,9.107159358918272
89,2526,61328,2770,1743,107,31456,73,0.8095661352299937,9.080548540037277
90,2417,60871,2757,1701,108,32070,79,0.8103165824104795,9.068669757064397
91,2380,60393,2698,1676,106,32667,83,0.8107109592953551,9.064636522394636
92,2296,59967,2671,1634,108,33242,85,0.8106931159337497,9.063205868465287
93,2236,59558,2608,1605,103,33803,90,0.8106225142056827,9.0642427231282
94,2189,59139,2563,1588,104,34329,91,0.8107931972351624,9.063957290480012
95,2143,58728,2527,1521,110,34882,92,0.8108111919052414,9.062562712166626
96,2064,58329,2464,1502,107,35442,95,0.810780527290332,9.063441355712246
97,1998,57969,2421,1466,103,35946,100,0.8107151320873162,9.063241981571243
98,1941,57617,2335,1395,103,36511,101,0.8105464098192638,9.064539341373484
99,1864,57275,2284,1350,101,37025,104,0.8104523701048681,9.066217062755078
100,1802,56926,2194,1341,92,37540,108,0.81021473306676,9.067769946370179
101,1715,56614,2153,1312,96,38005,108,0.8101825930892973,9.069167986721586
102,1700,56269,2088,1271,92,38470,113,0.8100248338338886,9.070283767614374
103,1644,55973,2008,1246,87,38931,114,0.8097661340290393,9.071573482103233
104,1617,55658,1937,1181,94,39401,115,0.8097308186036724,9.072237879085568
105,1571,55355,1910,1131,93,39825,118,0.8096357629769797,9.074220712330593
106,1552,55062,1843,1101,90,40235,120,0.8095794118652323,9.075323595960427
107,1456,54813,1808,1062,80,40663,121,0.8092286665875826,9.075829083728301
108,1416,54557,1759,996,81,41071,123,0.8092471982496975,9.076790124080562
109,1339,54319,1696,975,80,41468,126,0.80897453354281,9.076763505908888
110,1283,54072,1674,940,75,41832,127,0.8090285884885036,9.078461755111402
111,1226,53836,1638,917,68,42190,128,0.8089658202504129,9.078880269964046
112,1183,53630,1582,880,67,42533,128,0.8089212018533746,9.079150353212693
113,1163,53394,1513,856,60,42886,131,0.8087728770300584,9.079648659571463
114,1129,53190,1457,838,60,43197,132,0.8085315560385206,9.081445486177582
115,1078,52994,1365,832,59,43542,133,0.8085392044049698,9.082874799200342
116,1034,52802,1316,821,47,43846,137,0.8083857971796244,9.083843357624449
117,999,52631,1256,772,49,44157,139,0.8084311548613257,9.08456569005296
118,957,52437,1199,762,50,44457,141,0.8084487494802473,9.08350401510766
119,913,52277,1133,739,52,44747,142,0.8082041450833487,9.083843990582743
120,868,52126,1088,731,44,45003,143,0.8084213915350255,9.085541653954591
121,834,51968,1038,717,41,45261,144,0.8081153038281482,9.085299433267215
