,e,s,i1,i2,c,r,d,compliance,contacts
0,322,99075,310,296,0,0,0,0.016263793011901853,18.558689859485547
1,631,98766,267,247,0,92,0,0.02028012369178023,18.342685405433883
2,926,98471,215,205,2,184,0,0.028084562756576857,18.260560880101956
3,1158,98239,180,150,5,271,0,0.03201555236300628,18.171357839277622
4,1023,98052,325,248,11,344,0,0.03507230565680576,18.116418640558873
5,1186,97889,272,214,11,431,0,0.03861699694453932,18.080882849099492
6,1176,97590,424,287,15,511,0,0.03991534762736826,18.031858278853175
7,1122,97349,573,353,17,589,0,0.04270322828113469,18.015105932084182
8,1372,96867,719,439,17,589,0,0.044299511569458806,17.976054518251814
9,1810,96242,839,506,17,589,0,0.04668073697501649,17.947504245405597
10,2332,95557,936,572,17,589,0,0.04885409949979719,17.90819409231686
11,2636,94954,1118,689,17,589,0,0.051116618684684124,17.872258300220608
12,2956,94393,1070,656,21,907,0,0.05390930660179852,17.835516406846114
13,3207,93660,1367,841,21,907,0,0.055266926147192724,17.790550692468468
14,3261,92981,1567,957,20,1217,0,0.05891673524282086,17.767626022243387
15,3419,92138,1792,1122,23,1509,0,0.061092933417704304,17.70936576530072
16,3610,91344,2019,1266,24,1740,0,0.06524316519389291,17.66683081123079
17,4035,90358,2236,1423,26,1925,0,0.06876983594117837,17.603344093358476
18,4358,89302,2601,1628,23,2090,1,0.07306031025703169,17.542873947337167
19,4828,88153,2822,1787,25,2387,1,0.07774856333751963,17.47253335008569
20,5289,86849,3219,1992,29,2624,1,0.08237100115234738,17.392894482485925
21,5916,85428,3411,2112,37,3098,1,0.08781837690850719,17.314886229441118
22,6465,83893,3617,2267,48,3712,1,0.09250271533313183,17.227544579377433
23,7008,82294,3845,2410,61,4384,1,0.09783911567426348,17.148708866401126
24,7511,80642,4173,2628,65,4983,1,0.10275189139740812,17.06423344287635
25,8052,78797,4634,2910,72,5537,1,0.10807625167310163,16.982794210865478
26,8427,77001,5089,3143,78,6264,1,0.11401944327164339,16.898822789597325
27,8947,74946,5578,3510,77,6943,2,0.11950555864894262,16.808571274190115
28,9345,72949,6030,3814,89,7772,4,0.1266133283742509,16.72503226778793
29,9860,70782,6557,4145,98,8557,4,0.1331045896008348,16.624057822451668
30,10248,68549,7093,4468,116,9524,5,0.1405252191637766,16.526483314757126
31,10719,66282,7551,4750,130,10566,5,0.14797872960035693,16.42771186488841
32,10953,63993,8109,5098,144,11700,6,0.15527625804695164,16.328766866628488
33,11231,61718,8527,5373,149,12997,8,0.1630788455181468,16.234536162295136
34,11397,59385,8967,5679,159,14403,13,0.17008559234235,16.133672487458185
35,11509,57040,9481,5863,169,15923,18,0.17769435282104523,16.040741014125633
36,11500,54782,9889,6123,183,17506,20,0.18375753325595032,15.946020494194602
37,11548,52445,10331,6318,203,19135,23,0.19067761974980138,15.871496887424318
38,11514,50204,10589,6490,221,20959,26,0.19618295317081305,15.801215744574748
39,11393,47992,10896,6720,242,22731,29,0.2014546467909458,15.738224650595626
40,11197,45843,11079,6827,264,24759,34,0.20706823749036363,15.68529135300906
41,11113,43669,11221,6946,299,26718,37,0.21117716491006866,15.630759542984128
42,10928,41517,11275,7062,315,28863,43,0.21548529790133175,15.595930305156234
