,e,s,i1,i2,c,r,d,compliance,contacts
0,763,97775,751,714,0,0,0,0.022193242502437184,17.36684882948969
1,1382,97156,641,615,2,207,0,0.026513472568528734,17.045065104351703
2,1975,96563,530,511,5,419,0,0.03685944679971844,16.948854396830196
3,2496,96042,426,419,8,612,0,0.0406764772969891,16.8321492742525
4,2149,95626,809,595,11,813,0,0.04405124013898925,16.780557666730246
5,2444,95331,701,490,18,1019,0,0.047956354112935126,16.74618951028757
6,2384,94772,982,620,23,1222,0,0.04843304080829593,16.68810036519856
7,2251,94312,1257,718,29,1436,0,0.05199746926069295,16.683913330417564
8,2474,93568,1579,917,29,1436,0,0.05343491341179231,16.624587904328916
9,2971,92655,1849,1063,29,1436,0,0.05723554284149128,16.590058852628538
10,3683,91648,2031,1176,29,1436,0,0.060187904553828345,16.525788294203736
11,4238,90534,2379,1387,29,1436,0,0.06362192966711845,16.47257930282519
12,4951,89361,2186,1277,40,2188,0,0.06781022892371522,16.415944006064354
13,5441,88127,2661,1546,38,2190,0,0.0691694241886281,16.34405010354006
14,5739,86916,2839,1662,40,2806,1,0.07453452372932036,16.32230019164556
15,6013,85635,3067,1848,44,3395,1,0.07659939556768597,16.243410037164075
16,6255,84279,3422,2086,50,3910,1,0.08162650775241408,16.207815861027463
17,6508,82853,3869,2396,50,4325,2,0.08571325407709554,16.14250969771679
18,6894,81233,4442,2762,50,4619,3,0.09138845325574965,16.070027301399858
19,7379,79537,4850,3006,48,5179,4,0.09785231848651536,15.975804464437582
20,7966,77669,5357,3320,49,5638,4,0.1038319002053484,15.869952628108784
21,8594,75685,5721,3568,63,6368,4,0.11111184274450916,15.77406189107004
22,9179,73674,6013,3789,77,7267,4,0.11746134257900405,15.666788659849091
23,9656,71577,6412,4003,90,8261,4,0.1240337206162905,15.567696372744763
24,10059,69478,6758,4239,97,9364,8,0.13019064966235774,15.470263265244308
25,10365,67304,7191,4501,115,10519,8,0.13623198451795318,15.37992083419439
26,10571,65114,7672,4770,133,11733,10,0.14224126413757318,15.296292873622402
27,10775,62899,8181,5061,137,12937,13,0.14830366287732363,15.213760662668578
28,10956,60621,8685,5373,151,14201,16,0.15434766641157285,15.136493380593727
29,11187,58291,9152,5649,169,15536,19,0.160629447284489,15.058553605819824
30,11344,55960,9593,5956,196,16933,21,0.16660879374926088,14.977423617808372
31,11466,53648,9939,6180,220,18527,23,0.173050376338732,14.900676534234979
32,11548,51351,10269,6369,254,20189,23,0.17868789624554818,14.829494508371043
33,11540,49081,10494,6554,268,22038,28,0.18391661866936238,14.766714292561849
34,11449,46842,10672,6722,285,24000,33,0.1886929664651898,14.716734375072845
35,11228,44732,10829,6885,302,25986,41,0.19294204284923774,14.670533346140486
36,10865,42783,10928,7001,306,28073,47,0.19679758643163928,14.629121508905829
37,10399,40952,11014,7113,317,30156,52,0.19983629790879848,14.592836207861758
38,9954,39127,11118,7105,332,32308,59,0.20273294166408387,14.573572761103062
39,9551,37291,11124,7148,352,34476,61,0.20406217100522875,14.562650329944782
