,e,s,i1,i2,c,r,d,compliance,contacts
0,298,99075,320,310,0,0,0,0.004053612974536253,18.77138095570091
1,668,98705,277,272,0,81,0,0.004901232769984801,18.68744359726837
2,967,98406,232,225,3,170,0,0.009353300037681997,18.659620998635592
3,1233,98140,185,188,4,253,0,0.011341672145130906,18.603295247160155
4,1130,97945,312,260,11,345,0,0.014156312203251555,18.568659052127167
5,1330,97745,259,217,11,441,0,0.01743290782002163,18.53436586486257
6,1216,97489,447,299,14,538,0,0.019265942739396427,18.484637435845908
7,1175,97231,605,362,16,614,0,0.0232859497494299,18.457701833703084
8,1498,96642,783,450,16,614,0,0.025971860047496416,18.398400247817783
9,1881,96064,905,523,16,614,0,0.03052762139335383,18.350809160707307
10,2284,95461,1028,600,16,614,0,0.0346438025175735,18.28363697172305
11,2664,94825,1200,684,16,614,0,0.03981612897515401,18.21453237839698
12,3009,94222,1165,679,21,907,0,0.045281269946562605,18.137118734833983
13,3202,93440,1538,895,21,907,0,0.05060612384298459,18.05306338263039
14,3267,92797,1662,979,23,1275,0,0.058236235316100365,17.975425178104086
15,3531,91930,1846,1099,30,1567,0,0.06454982761149136,17.86309208787007
16,3746,91079,2060,1255,25,1838,0,0.0734578643461852,17.76647133815664
17,4115,90107,2284,1439,26,2032,0,0.08208651711416323,17.643736149007296
18,4410,89030,2646,1659,24,2234,0,0.09225893376355106,17.512955065547544
19,4851,87946,2855,1837,26,2488,0,0.10346149167739879,17.368899685719384
20,5261,86669,3247,2054,30,2742,0,0.11522909838874561,17.209075153830423
21,5825,85254,3381,2182,37,3324,0,0.12845128348519153,17.041584012652883
22,6308,83799,3622,2335,49,3890,0,0.1417246527789153,16.85634897366167
23,6707,82323,3915,2516,60,4482,0,0.15637602293520814,16.67064245236543
24,7193,80753,4197,2682,60,5118,0,0.17124421665666678,16.47366524029051
25,7603,79066,4670,2883,64,5717,0,0.18650466101029156,16.271636635157982
26,7922,77332,5022,3164,69,6493,1,0.20244380470823817,16.074085527141563
27,8247,75552,5538,3460,72,7132,2,0.21894905383715352,15.864117258021714
28,8679,73644,5933,3674,81,7989,3,0.23615058872443892,15.647380332392538
29,9157,71596,6385,3941,91,8829,4,0.2535155802814344,15.42837668883313
30,9564,69502,6831,4210,102,9790,4,0.2716757531460166,15.210936234054325
31,9800,67532,7217,4481,109,10858,6,0.28984725969984587,14.990817895330844
32,10133,65419,7631,4763,120,11929,8,0.30830651996936054,14.766814359552882
33,10307,63337,7966,5059,132,13190,12,0.3271454922069717,14.551494670390461
34,10310,61286,8376,5282,141,14592,16,0.345974080723583,14.328843621719802
35,10227,59275,8818,5479,153,16033,18,0.36455288247885165,14.112381045149734
36,10259,57273,9122,5669,168,17492,20,0.3829898758723759,13.908676649518783
37,10136,55283,9440,5894,191,19036,23,0.400715808141092,13.711200383847503
38,9926,53411,9703,6026,203,20706,28,0.41823783362414163,13.52558925710647
39,9777,51509,9922,6124,231,22409,31,0.43462272199698865,13.345716351494499
40,9623,49652,10074,6203,241,24173,37,0.4504008857356525,13.18188693761127
41,9325,47948,10173,6198,257,26061,41,0.464877026977287,13.029721494317696
42,9034,46249,10141,6172,275,28086,46,0.47803627428690276,12.891658912141294
43,8863,44548,9972,6119,297,30155,49,0.4901186047726468,12.771764750923916
44,8508,43001,9884,6139,303,32116,52,0.5006695953847009,12.665092970655127
45,8086,41566,9748,6019,319,34203,62,0.5102202976254577,12.57244522183661
46,7731,40217,9478,5911,321,36275,70,0.5181334799372606,12.493028787348411
47,7274,38975,9256,5781,332,38307,78,0.5249274802770003,12.429235075792622
48,6740,37808,9021,5706,344,40296,88,0.5303284350070547,12.3747959176559
49,6358,36643,8680,5592,340,42296,94,0.5351358616744606,12.332907669412384
50,5924,35642,8377,5340,342,44275,103,0.5386857725273257,12.299286630535727
51,5574,34643,8009,5185,331,46145,116,0.5407234915488369,12.275707737768135
52,5212,33763,7612,4922,347,48023,124,0.5420251298319353,12.265913339512988
53,4870,32938,7191,4653,348,49867,136,0.5419576593617951,12.262430827980761
54,4501,32142,6875,4430,343,51566,146,0.5410208842021899,12.270765687811219
55,4212,31430,6430,4177,328,53269,157,0.5391633988000517,12.287239969024439
56,3827,30816,6034,3871,334,54957,164,0.536416648495235,12.311017007230948
57,3548,30215,5668,3570,315,56511,176,0.5327366615246044,12.343775609102364
58,3252,29686,5269,3359,311,57947,179,0.528170807231491,12.385328698745404
59,2960,29182,4956,3119,303,59293,190,0.5231423196857775,12.43348974426728
60,2690,28740,4619,2926,290,60541,197,0.5174057033728213,12.486069188990816
61,2491,28325,4262,2730,283,61710,202,0.5115007326744767,12.545965458499136
62,2332,27883,3909,2519,270,62878,212,0.5050037426255254,12.606863399251711
63,2175,27511,3632,2324,252,63887,222,0.4980828260723793,12.673311143810615
64,2015,27167,3347,2114,236,64892,232,0.4908721204841128,12.74495805341079
65,1896,26844,3092,1931,218,65782,240,0.4831046038355524,12.817807551861405
66,1755,26570,2833,1780,198,66617,250,0.47520559160700016,12.896663290236537
67,1584,26299,2613,1646,187,67419,255,0.46708408149695024,12.977531521967974
68,1446,26065,2414,1505,163,68146,264,0.45887586164492106,13.060599337365481
69,1282,25885,2273,1376,157,68761,269,0.450472014343834,13.145143345021323
70,1157,25687,2116,1255,146,69369,273,0.4420726734469562,13.231494502072367
71,1052,25518,1949,1167,128,69910,279,0.433537463842064,13.318922604680942
72,925,25374,1795,1088,114,70422,285,0.4250710923440559,13.40801119499318
73,843,25222,1652,1023,103,70867,293,0.4166740055456307,13.4982538748448
74,797,25088,1502,938,98,71285,295,0.408352887229303,13.587193078523214
75,745,24942,1363,833,97,71725,298,0.4000298235478648,13.675298363057935
76,707,24811,1256,737,84,72105,303,0.3917263456051154,13.76320600339549
77,670,24704,1117,676,75,72457,304,0.383433340686691,13.851665731547316
78,609,24613,1005,617,72,72782,305,0.37535038324040926,13.94056967227
79,552,24536,931,551,69,73057,307,0.3673484739264589,14.027869830167361
80,499,24443,847,510,76,73321,307,0.35941311290527794,14.11493873045596
81,455,24356,780,474,68,73562,308,0.3518108620824642,14.201670737779876
82,413,24291,728,453,62,73748,308,0.3441961771669707,14.286489722638152
83,383,24230,660,414,55,73952,309,0.33687259767805855,14.370248396122593
84,369,24167,596,386,52,74123,310,0.3296365390284891,14.453051921924484
85,316,24127,562,369,49,74269,311,0.322560189334217,14.534734484944037
86,276,24080,511,355,46,74423,312,0.3156860698006012,14.61438152695169
87,252,24039,467,330,38,74564,313,0.30908400769673133,14.692504975721222
88,237,23993,413,299,35,74711,315,0.3025594468976912,14.76851290992206
