,0_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80
0_10,3.779872225,0.624463173,0.586525545,0.691244554,0.327469919,0.191581761,0.101348145,0.033004064
10_20,0.914654927,6.038609578,0.97537653,0.558996439,0.467118835,0.150252547,0.053577321,0.022048336
20_30,0.324036641,1.214792939,3.447849262,1.418496002,0.803630141,0.349045677,0.102621537,0.020197878
30_40,0.483029565,0.472551137,1.269719453,1.726457637,1.068275828,0.409415492,0.129080745,0.020666812
40_50,0.234246579,0.448933593,0.747648889,1.097340081,1.021229346,0.382396709,0.102826533,0.017484594
50_60,0.283279424,0.449153023,0.552817135,0.637804387,0.64853508,0.360540432,0.105911048,0.016815225
60_70,0.083961238,0.089146061,0.290078412,0.395229095,0.338228273,0.20926944,0.116980848,0.027255149
70_80,0.026657793,0.047992938,0.067746063,0.083195754,0.076768098,0.057836294,0.058123509,0.038063493
