,e,s,i1,i2,c,r,d,compliance,contacts
0,784,97775,738,706,0,0,0,0.8793631918033875,9.378774080129082
1,1143,97416,629,608,3,204,0,0.8793815860979691,9.37099966225761
2,1473,97086,523,518,7,396,0,0.8801425257014277,9.369656800814361
3,1745,96814,397,417,13,617,0,0.8803185621859931,9.365268556331833
4,1156,96619,793,598,18,819,0,0.8806692897875772,9.363496232398212
5,1334,96441,695,478,24,1031,0,0.8811336599038914,9.36179987094693
6,1272,96144,812,536,31,1208,0,0.8812458633140782,9.358236130488113
7,1210,95876,908,565,36,1408,0,0.8817586750903448,9.35742374013364
8,1440,95374,1076,669,36,1408,0,0.8819285560095608,9.354182768543271
9,1688,94931,1187,753,36,1408,0,0.8824528448448671,9.352293860497342
10,1914,94527,1313,805,36,1408,0,0.882868865055627,9.348640380359493
11,2005,94139,1503,912,36,1408,0,0.8833971184893363,9.3450060829588
12,2098,93778,1180,719,57,2171,0,0.8840014756423439,9.340963421287679
13,2015,93359,1484,917,54,2174,0,0.8843295370754958,9.336246844468839
14,1886,93045,1547,938,58,2529,0,0.8815054138297633,9.34008749990224
15,1863,92664,1588,971,59,2857,1,0.8805319754407357,9.354975847628522
16,1849,92290,1644,1031,57,3130,2,0.8789892321408476,9.364595693249857
17,1829,91949,1767,1074,58,3323,3,0.8777822573744954,9.373637614806091
18,1735,91624,1904,1178,52,3504,6,0.8767740548698415,9.381509448720376
19,1783,91262,1899,1200,50,3803,6,0.8758763638018613,9.388326121998324
20,1767,90897,1956,1256,54,4067,6,0.8750327450520103,9.393471560038808
21,1782,90508,1898,1186,58,4565,6,0.8744471068580064,9.398500950847566
22,1858,90091,1833,1149,67,4999,6,0.8737611931370644,9.402264533775647
23,1953,89671,1789,1114,70,5400,6,0.8733114191042927,9.406017275151218
24,2064,89198,1800,1077,55,5799,10,0.8727609308882742,9.408821990684393
25,2078,88819,1791,1090,62,6153,10,0.8722579271921022,9.412370606097468
26,2093,88415,1784,1067,57,6574,13,0.8718304422044739,9.41578950167729
27,2071,88020,1838,1116,56,6888,14,0.8712830333673128,9.416428209450439
28,2063,87608,1858,1135,59,7266,14,0.8709542114925912,9.420344541534934
29,2024,87174,1902,1190,65,7633,15,0.8705125042094856,9.422608836326821
30,2074,86745,1932,1198,68,7971,15,0.8702417970167855,9.425676962076576
31,2182,86233,1975,1234,71,8293,15,0.8698737223050952,9.427684414796765
32,2220,85800,1994,1248,71,8654,16,0.8696221102232052,9.429971000870694
33,2258,85350,2014,1275,72,9017,17,0.8693377200280775,9.43142854500325
34,2281,84893,2018,1316,70,9407,18,0.8691478897531231,9.43072991536068
35,2308,84437,2053,1293,71,9822,19,0.8689497625778814,9.431435853337081
36,2303,83930,2120,1318,69,10243,20,0.8687106046024411,9.432439277270634
37,2339,83461,2101,1297,69,10715,21,0.8685746445119601,9.434043304286877
38,2357,82993,2148,1321,69,11093,22,0.8683488312354298,9.434868415506472
39,2384,82509,2167,1355,68,11497,23,0.868244339432501,9.436130067408852
40,2429,82008,2183,1400,68,11892,23,0.8681156189610293,9.435498946082923
41,2426,81504,2241,1437,60,12310,25,0.8680322594077888,9.436417208805267
42,2447,81014,2271,1442,62,12742,25,0.8679293911171584,9.437002746536459
43,2479,80514,2291,1461,60,13173,25,0.8678517778699641,9.437531445137548
44,2455,80054,2278,1446,64,13681,25,0.86778932819339,9.437959390368992
45,2436,79572,2322,1470,66,14112,25,0.8640329799811974,9.444702748056281
46,2401,79103,2370,1476,64,14564,25,0.8625610069336275,9.46601320668816
47,2393,78621,2412,1467,75,15009,26,0.8602669001229732,9.479382974537367
48,2348,78166,2428,1495,79,15461,26,0.8583652945722602,9.49372612006838
49,2387,77667,2406,1470,84,15961,28,0.8566791407024369,9.507054250585504
50,2383,77189,2418,1471,85,16428,29,0.8550287013318961,9.518515451000242
51,2427,76676,2419,1471,85,16895,30,0.8535238675176896,9.529974759320885
52,2413,76208,2415,1473,86,17376,32,0.8484261304385551,9.546836397687372
53,2472,75694,2378,1464,86,17876,33,0.8457306206278656,9.577618563804648
54,2414,75253,2359,1478,85,18379,35,0.8423034933999254,9.600040935364362
55,2415,74774,2369,1456,88,18864,37,0.8393392181140201,9.622755123926016
56,2342,74334,2388,1450,87,19365,37,0.8366541627333577,9.643718701861966
57,2330,73878,2400,1446,87,19822,40,0.834070205662264,9.662866590909632
58,2255,73439,2417,1461,89,20301,41,0.8317207568249996,9.680868524774585
59,2246,73007,2401,1449,84,20771,45,0.8295199011209333,9.697415616854276
60,2193,72581,2396,1451,82,21254,46,0.8274996559385902,9.713087980769643
61,2198,72136,2365,1467,76,21713,48,0.8256290792722938,9.727330468629798
62,2227,71651,2342,1447,76,22212,48,0.823877433155785,9.740727767696603
63,2243,71196,2289,1461,80,22686,48,0.8222485333435332,9.75311678298043
64,2281,70726,2250,1419,81,23196,50,0.8207781658585929,9.764867456739628
65,2280,70301,2208,1419,85,23660,50,0.8193041451679096,9.775208318435164
66,2226,69910,2164,1394,86,24172,51,0.8180364029256962,9.785658393799842
67,2166,69485,2172,1430,84,24614,52,0.8167644094930829,9.7953564840177
68,2128,69068,2161,1417,87,25090,52,0.8156905580479007,9.804007906795222
69,2037,68689,2207,1401,84,25528,57,0.8145789131610693,9.812046812236328
70,1998,68303,2183,1394,85,25981,59,0.8135999751325782,9.820085346352185
71,1991,67919,2163,1366,80,26424,60,0.8126879579054975,9.827121030990977
72,1968,67517,2152,1370,79,26857,60,0.8117948165066807,9.834026847635796
73,1955,67113,2164,1349,80,27281,61,0.8109275534890448,9.840992638549622
74,1977,66712,2114,1333,86,27719,62,0.8101625609254322,9.847209946512175
75,1980,66323,2067,1281,85,28202,65,0.8093688660008747,9.852666861062685
76,1976,65943,2006,1271,83,28658,66,0.8086096246245252,9.858569396183906
77,1947,65570,1957,1252,82,29128,67,0.8078871809958893,9.863996001423212
78,1872,65241,1968,1220,81,29552,69,0.807200384239922,9.869256480270378
79,1810,64902,1971,1227,80,29941,72,0.80650597069291,9.875064711887628
80,1754,64569,1937,1225,74,30369,75,0.8058764248321241,9.880001845709593
81,1757,64186,1908,1217,74,30784,77,0.8052844549210293,9.884899871193976
82,1737,63833,1919,1200,69,31168,77,0.804700963310289,9.889630269269084
83,1736,63505,1866,1196,66,31557,77,0.8041317461361286,9.893896195300762
84,1738,63164,1860,1157,66,31940,78,0.803648329982982,9.898195536771132
85,1715,62854,1812,1136,66,32338,82,0.8030692639628013,9.902355647043226
86,1631,62555,1771,1156,62,32744,84,0.8063001933758119,9.90000685155763
87,1585,62248,1741,1138,61,33144,86,0.8072824961784474,9.881340057976875
88,1540,61965,1721,1097,62,33532,86,0.809058058971902,9.870788912867106
89,1472,61692,1720,1059,58,33916,86,0.8104860186259494,9.859402663354222
90,1425,61429,1679,1037,55,34291,87,0.8116558948900368,9.848679747958508
91,1397,61158,1688,998,56,34619,87,0.8128739759937826,9.84027131691771
92,1332,60916,1656,998,55,34958,88,0.8138519764716057,9.83233035288058
93,1304,60661,1636,968,55,35291,88,0.814762984589237,9.825554096616466
94,1293,60399,1569,925,58,35671,88,0.815557213986465,9.819092667581504
95,1304,60125,1516,888,59,36021,90,0.8162370856567439,9.813504321150402
96,1261,59897,1482,865,60,36346,92,0.8168771219393969,9.808819746749052
97,1243,59673,1392,856,55,36688,96,0.8174091695613144,9.804657042704845
98,1200,59461,1343,850,54,36997,98,0.8178991808884426,9.801145690529543
99,1123,59276,1300,856,54,37295,99,0.8182972638524102,9.79787374417621
100,1063,59062,1306,817,52,37603,100,0.8187186894277149,9.795322285480516
101,1038,58859,1276,792,50,37887,101,0.8190394260137203,9.792653277787679
102,1002,58671,1249,770,50,38160,101,0.8193237539614071,9.790493701879074
103,969,58492,1207,761,54,38418,102,0.819520012775021,9.789198643001926
104,980,58296,1156,726,52,38690,103,0.8196855372714589,9.787934679800534
105,932,58130,1134,720,51,38932,104,0.8198008857227962,9.787106248238215
106,894,57965,1107,695,48,39189,105,0.8199162293041864,9.786208897326926
107,855,57816,1088,640,50,39449,105,0.819966710979986,9.785706527989248
108,852,57640,1009,624,46,39726,106,0.8199292723290785,9.785380525905687
109,839,57457,979,622,44,39956,106,0.8199504502967859,9.785756549910396
110,822,57308,939,604,46,40176,108,0.8199229556639497,9.785616118750745
111,794,57171,910,586,40,40393,109,0.8198557819115563,9.786042119536196
112,769,57047,874,586,38,40580,109,0.8197681974046847,9.786769759697618
113,741,56899,848,574,39,40793,109,0.8197136396103398,9.787481663806439
114,732,56725,846,556,42,40993,109,0.8195925576555249,9.787786073917237
115,701,56607,785,578,36,41183,113,0.8194968125275637,9.788779597176601
116,676,56495,768,553,37,41361,113,0.8194319683043595,9.789635358203801
117,670,56377,731,518,35,41559,113,0.8192991115927044,9.790068069052941
118,634,56265,725,506,36,41724,113,0.8191621642756532,9.791240337045283
119,557,56168,729,511,33,41891,114,0.8190325130416916,9.79229113167451
120,536,56071,715,494,33,42040,114,0.818879292307688,9.793314668101457
121,544,55951,687,458,36,42213,114,0.8187205726786427,9.794395803888667
122,529,55848,646,434,33,42397,116,0.8185600542004374,9.795519628393286
123,523,55742,644,399,35,42544,116,0.8183881358518106,9.796907791525188
124,505,55663,611,392,34,42682,116,0.8181631597334064,9.798263829068729
125,499,55572,593,383,31,42809,116,0.8179851283290853,9.800089503495329
126,451,55500,578,370,27,42960,117,0.8177577844896814,9.801507654334333
127,426,55422,546,331,27,43133,118,0.8175383542359874,9.802940938869893
128,401,55341,560,305,28,43249,119,0.8172891717637338,9.80461382588564
129,403,55260,546,286,28,43361,119,0.817055527843714,9.806425575133458
130,387,55185,534,271,24,43482,120,0.8167752512290501,9.808361596602422
131,385,55115,511,254,23,43595,120,0.8164984779309886,9.810371254187569
132,379,55043,501,245,23,43691,121,0.8162642799874702,9.812409581516679
133,378,54963,488,242,21,43790,121,0.8159929552238522,9.814299817658586
134,350,54910,452,239,17,43914,121,0.8157523668491425,9.816035200226787
135,335,54850,428,235,17,44017,121,0.8154889321995764,9.817783317540442
136,322,54793,397,230,15,44124,122,0.8152989519414383,9.81952967335342
137,302,54741,385,235,15,44203,122,0.8150596694234538,9.82097468571055
138,274,54689,373,236,16,44293,122,0.8148825561589961,9.822814093130832
139,281,54629,358,232,14,44367,122,0.8147143578204212,9.824111380131386
140,284,54566,341,231,13,44445,123,0.8145169437846368,9.825258938333768
141,274,54519,331,217,12,44527,123,0.8143725981188352,9.826764341988627
142,279,54462,325,194,15,44605,123,0.8141853962758355,9.827737821018461
143,278,54411,316,180,15,44680,123,0.8140345253530689,9.82897008605778
144,263,54366,304,182,15,44750,123,0.8138572277325271,9.830151607181028
145,252,54314,295,182,16,44821,123,0.8137169371723795,9.831409529288356
146,257,54262,274,170,18,44899,123,0.8135633049775822,9.832540841858961
147,240,54222,274,174,15,44955,123,0.8134070842261608,9.833832824340796
148,238,54173,276,163,16,45014,123,0.8132498532864368,9.834947180250664
149,234,54132,264,163,17,45070,123,0.8130759833358165,9.836077187126268
150,227,54087,251,176,15,45124,123,0.8129515979007588,9.837529998432794
151,214,54048,251,176,14,45177,123,0.8128270695946203,9.838460537788837
152,207,54015,240,167,15,45235,124,0.8126920928506051,9.839406311175098
153,199,53974,231,162,17,45296,124,0.8125612571330696,9.840473330902451
154,192,53940,223,164,15,45345,124,0.8124394355946832,9.841181995910306
155,176,53911,218,157,15,45402,124,0.8123553715853277,9.842051609234954
156,171,53877,209,154,14,45454,124,0.812235333664268,9.842596413496532
157,155,53860,201,150,13,45499,125,0.8121665408041367,9.843526480040126
158,145,53829,204,136,15,45548,126,0.8120690629598919,9.844024779391706
159,150,53790,190,132,16,45599,126,0.8119580880155799,9.84479133974352
160,149,53762,186,125,15,45640,126,0.8118301669160858,9.8457069245346
161,153,53724,184,112,15,45689,126,0.8117049119324153,9.846608392838332
162,166,53694,169,103,16,45729,126,0.8115962635526822,9.847411506651566
163,162,53667,157,101,16,45774,126,0.8114788806060705,9.848169713942932
164,136,53654,158,100,13,45815,127,0.8113650347283632,9.849209737577246
165,130,53632,155,98,11,45850,127,0.8112347543821645,9.850147425149887
166,121,53603,153,97,10,45892,127,0.8111595234251078,9.850943511096698
167,119,53575,153,93,10,45926,127,0.8110424123042519,9.851734952859633
168,114,53553,145,99,9,45956,127,0.8109509490191078,9.852449486503883
169,124,53530,135,88,8,45991,127,0.8108905889079094,9.853046720387919
170,126,53506,138,90,5,46010,128,0.8107593660825603,9.85355325030383
171,114,53489,138,88,4,46042,128,0.8107077945730158,9.854261382132755
172,101,53474,127,88,4,46081,128,0.8106322798574396,9.854660472644367
173,95,53458,126,83,5,46108,128,0.8105373223934375,9.855097829385347
174,91,53439,115,79,5,46146,128,0.8105230728035798,9.855685628856305
175,84,53422,105,83,5,46176,128,0.8104439535749522,9.856138321266346
176,83,53406,106,72,5,46203,128,0.8103897829674602,9.856491012520067
177,92,53382,103,77,5,46216,128,0.8103094805589696,9.856970691005715
178,92,53366,101,73,5,46238,128,0.810241887270423,9.857541116549758
179,88,53351,97,67,4,46267,129,0.8101871216649397,9.85812462545496
180,83,53339,92,61,4,46295,129,0.8100938725749792,9.858683179707533
181,77,53329,85,62,4,46317,129,0.8100454931462086,9.859254426840096
182,63,53319,86,62,3,46341,129,0.8099978327765993,9.859709916911264
183,59,53307,83,57,3,46365,129,0.8099311251409516,9.860130027108648
184,56,53295,77,61,3,46382,129,0.8098656433665054,9.860739936574907
185,57,53282,77,58,1,46399,129,0.809846024777507,9.86116344436308
186,54,53275,74,55,0,46416,129,0.8097426299317403,9.861464962404396
187,54,53265,67,53,0,46435,129,0.8097068612462903,9.862108792459232
188,58,53249,63,52,0,46452,129,0.8096492589087652,9.862356300074811
189,56,53239,64,47,0,46468,129,0.8095853895672676,9.86265711364798
190,63,53219,59,41,0,46492,129,0.8095489456246129,9.863182695494901
191,66,53209,56,35,0,46508,129,0.8094968184276587,9.863511235704996
192,65,53200,55,31,0,46523,129,0.809418488303144,9.863939119568384
193,53,53196,53,37,1,46534,129,0.8093656778657594,9.864379230296842
194,47,53192,53,37,1,46544,129,0.8093143120859982,9.864850191252545
195,37,53182,58,42,1,46554,129,0.809231240774448,9.865317828849994
196,38,53171,57,41,1,46566,129,0.8092279116081907,9.865765675974943
197,37,53163,55,40,1,46578,129,0.8091781344733094,9.866002903548907
198,40,53156,47,39,1,46591,129,0.8091277537620111,9.866253219060363
199,43,53149,47,36,2,46597,129,0.8090787646597417,9.866624319282408
