,e,s,i1,i2,c,r,d,compliance,contacts
0,298,99075,320,310,0,0,0,0.8788840303120717,9.529177345651927
1,508,98865,277,272,0,81,0,0.8789410914311009,9.525562502625954
2,691,98682,232,225,2,171,0,0.8792118710054261,9.52500367995963
3,852,98521,185,188,3,254,0,0.8790787145503225,9.523620296060422
4,676,98399,312,260,5,351,0,0.8791236178860232,9.52484116311612
5,799,98276,259,217,6,446,0,0.8791951197200385,9.52489064529124
6,734,98131,343,243,8,544,0,0.8790630089790141,9.523437779752513
7,686,97996,431,260,11,619,0,0.8792085467827222,9.524494115686666
8,893,97628,535,317,11,619,0,0.8792138489374194,9.523587584392656
9,1104,97295,613,361,11,619,0,0.879164391003943,9.523711424676872
10,1244,97032,681,416,11,619,0,0.8793413158312312,9.523558545173643
11,1336,96795,764,478,11,619,0,0.8794209901980837,9.522787946297576
12,1411,96585,671,408,18,910,0,0.87949959573626,9.521189307918705
13,1308,96320,895,552,18,910,0,0.8795168290350497,9.52085812416244
14,1212,96083,972,598,16,1122,0,0.8599785543692806,9.553955550928773
15,1205,95827,1015,635,16,1305,0,0.8561793616171799,9.660328783307243
16,1207,95588,1050,676,16,1466,0,0.8509646860953253,9.696091634136888
17,1224,95361,1098,716,16,1588,0,0.8485025141792562,9.723682601426388
18,1196,95124,1192,764,16,1711,0,0.8470087653942197,9.739961048675415
19,1224,94859,1249,799,15,1857,0,0.8460494643011555,9.749407683138633
20,1227,94600,1308,861,16,1991,0,0.8457168743096855,9.754027032212756
21,1299,94289,1238,802,19,2356,0,0.845567201645928,9.755365845535128
22,1394,93967,1167,767,27,2681,0,0.8451891132259934,9.756060559916946
23,1422,93702,1150,758,35,2936,0,0.8452364275384266,9.758689716020086
24,1459,93400,1168,768,35,3172,1,0.8450431985372424,9.75768109663368
25,1509,93091,1205,780,37,3380,1,0.845198748752769,9.75922167091132
26,1515,92774,1240,791,39,3643,1,0.8450197451337094,9.757984140897731
27,1524,92443,1306,810,45,3873,2,0.8451576360363714,9.75912928044848
28,1644,92058,1324,801,47,4127,2,0.8450204740660457,9.75778421357024
29,1679,91721,1348,840,50,4363,2,0.8450223866375882,9.757755399975242
30,1688,91403,1392,878,52,4586,4,0.8451974850927237,9.757653849114314
31,1720,91054,1445,905,53,4822,4,0.8453177798726045,9.75420080184697
32,1736,90707,1488,928,55,5085,4,0.8453543198229426,9.753099231594494
33,1784,90274,1567,975,55,5344,4,0.8453474754182017,9.75277721053241
34,1901,89820,1594,974,50,5659,5,0.845539957026605,9.752865179405463
35,1990,89413,1591,973,47,5982,7,0.8454661543749341,9.749425840411421
36,2052,89002,1647,1001,47,6246,8,0.8456237177461458,9.748896806463422
37,2086,88621,1694,999,50,6543,10,0.8456878133390275,9.748766635965497
38,2072,88202,1778,1039,52,6850,10,0.8457340852414178,9.748085389483169
39,2041,87779,1860,1094,49,7169,11,0.8457925393920729,9.747743665879709
40,2069,87344,1913,1117,49,7498,13,0.8458757753426704,9.745566088687664
41,2109,86893,1921,1135,51,7880,14,0.8457943015741836,9.742398703872908
42,2221,86400,1919,1181,49,8218,15,0.8460995293273142,9.742084686370854
43,2292,85910,1989,1212,48,8536,16,0.8461011767367442,9.738992102587943
44,2362,85417,2039,1236,48,8885,16,0.8463340495526094,9.737722364260133
45,2365,84979,2078,1285,50,9230,16,0.8262385541007933,9.771803248084455
46,2444,84449,2097,1284,53,9659,17,0.8224846450336035,9.886117346149165
47,2422,83978,2130,1290,50,10113,20,0.8169048416027532,9.92177638001389
48,2439,83471,2200,1303,49,10519,22,0.8143871948217347,9.95211287442184
49,2475,82942,2248,1337,50,10929,22,0.8130218300846938,9.969213079833098
50,2554,82425,2285,1357,56,11304,22,0.8121315512957671,9.976629554357881
51,2598,81851,2331,1422,55,11724,22,0.8117850579955084,9.9817655472869
52,2705,81273,2338,1463,57,12143,24,0.7914876573986984,10.021809358904733
53,2728,80743,2400,1473,54,12580,25,0.7875370628374689,10.141272962506363
54,2799,80143,2447,1504,60,13025,25,0.7819179575427688,10.17836343635616
55,2880,79545,2450,1525,67,13511,25,0.7795326495900193,10.210581917893112
56,2900,78951,2475,1584,74,13994,25,0.7780394158131285,10.22731497561319
57,2919,78354,2523,1621,78,14482,26,0.7770533761856308,10.23725600091422
58,2967,77776,2585,1651,77,14920,27,0.7766664922155495,10.242225224616954
59,2949,77194,2631,1675,82,15444,28,0.776628479381053,10.24478032889124
60,2953,76592,2725,1708,81,15915,29,0.776690968371719,10.244390045886849
