,e,s,i1,i2,c,r,d,compliance,contacts
0,307,99075,333,288,0,0,0,0.8790607201839558,8.640744856557873
1,444,98938,284,244,2,91,0,0.8791372751735738,8.63777853206276
2,578,98804,242,200,4,175,0,0.8793596338106535,8.637087212938749
3,701,98681,196,164,6,255,0,0.8793732187781459,8.635762345318533
4,482,98593,348,241,6,333,0,0.8795080152663902,8.635558838227574
5,560,98515,290,202,7,429,0,0.8796302734757919,8.634782806372575
6,571,98367,322,210,7,526,0,0.8796702405043536,8.633760585341445
7,575,98229,353,225,8,613,0,0.8798029304451388,8.633579261951946
8,615,98066,425,276,8,613,0,0.8798600583094786,8.632735892596223
9,722,97871,478,311,8,613,0,0.8800475716081998,8.63222746660644
10,833,97682,530,337,8,613,0,0.8801293527775448,8.6309012538718
11,859,97508,621,394,8,613,0,0.8803022742163332,8.630002384153732
12,918,97311,506,340,11,917,0,0.880469424520259,8.62884739128596
13,968,97098,604,405,9,918,1,0.8805912827407412,8.627421682092324
14,968,96903,635,432,9,1055,1,0.8753794554211453,8.635948993023662
15,993,96689,678,444,9,1188,2,0.8735354267477203,8.664758343885588
16,1025,96483,715,458,11,1309,2,0.8705674388643617,8.681944266784768
17,1075,96236,776,506,13,1395,2,0.8683089677144259,8.70013141535274
18,1091,96007,858,559,13,1473,2,0.866310278863176,8.71557902293058
19,1195,95708,878,586,12,1622,2,0.8645008654020364,8.728941955698199
20,1293,95396,932,608,12,1760,2,0.8629296301717725,8.740720178163427
21,1416,95067,954,629,15,1920,2,0.8616101945309759,8.751005015957428
22,1529,94707,1000,635,19,2111,2,0.8604059043375533,8.759730925509846
23,1616,94391,1010,665,23,2296,2,0.8593849888407447,8.767238526465146
24,1613,94095,1071,729,23,2468,4,0.8585703660281037,8.773792052573539
25,1617,93779,1156,759,29,2659,4,0.8578935005727568,8.779005872892927
26,1596,93471,1229,802,30,2870,5,0.8572959231989427,8.783094807044868
27,1555,93152,1347,849,33,3061,6,0.8568640887674429,8.78653735001592
28,1603,92788,1417,881,35,3273,6,0.8565320147334733,8.789302291307255
29,1724,92371,1487,901,37,3477,6,0.8562956644375919,8.790839201541218
30,1774,92005,1530,927,37,3724,6,0.8561063024875091,8.792014834694688
31,1866,91605,1595,941,44,3946,6,0.8560299417869489,8.793329092869579
32,1925,91227,1618,938,49,4240,6,0.8559506920124277,8.793402362819135
33,1970,90818,1647,961,49,4552,6,0.8559335085199631,8.793512912527016
34,1953,90418,1704,992,50,4880,6,0.8558512883670942,8.793199595404564
35,2001,90004,1686,1016,51,5238,7,0.8559598408745396,8.792995491405359
36,2044,89561,1729,1057,55,5550,7,0.8560176270706984,8.792241989451773
37,2125,89102,1757,1111,54,5845,9,0.8561646548686921,8.791414128482812
38,2176,88642,1804,1157,55,6159,10,0.8563087010835305,8.790027160247735
39,2268,88150,1855,1198,53,6468,11,0.8564700699355022,8.786373741374275
40,2331,87673,1913,1235,56,6784,11,0.856620605547532,8.783711866275661
41,2430,87131,1963,1264,59,7145,11,0.8568663844135341,8.782197643191077
42,2496,86606,1966,1303,63,7558,11,0.8570433880040541,8.780396868733032
43,2553,86089,2033,1330,62,7924,12,0.8573159982040361,8.77884841764617
44,2563,85587,2100,1355,61,8325,12,0.8575433378468912,8.776877256785987
45,2640,85033,2184,1370,64,8700,12,0.8522416880362309,8.784739463430435
46,2649,84482,2262,1425,64,9108,13,0.8504154208545489,8.814630218331622
47,2673,83933,2343,1469,64,9506,15,0.847590340000774,8.832176801005227
48,2740,83349,2414,1501,60,9923,16,0.8453141894359696,8.845180106323225
49,2830,82757,2458,1516,65,10359,18,0.8433495216574731,8.860899326771081
50,2873,82160,2515,1554,68,10815,18,0.8415218942057192,8.874574953733788
51,2911,81571,2574,1586,75,11267,19,0.8400197199833312,8.886424084373408
52,3006,80927,2578,1639,76,11756,21,0.8331116077415092,8.906571754754594
53,2997,80352,2637,1687,75,12233,22,0.8300777218232991,8.94726978371505
54,2992,79765,2687,1687,79,12770,23,0.8259895967363993,8.972750620733724
55,3043,79117,2738,1708,79,13294,24,0.8227733819245695,8.998333562958448
56,3147,78424,2777,1741,80,13809,25,0.8199788022137307,9.021239205273275
57,3145,77782,2862,1798,81,14310,25,0.8174029582979799,9.040292238679859
58,3175,77177,2889,1792,83,14861,26,0.815312995547178,9.058066628928955
59,3259,76506,2915,1802,81,15414,26,0.8133294350085007,9.072742156769108
60,3271,75846,2988,1828,87,15957,26,0.8117122584468188,9.086212531920753
61,3240,75184,3047,1878,88,16537,29,0.8102710737463674,9.097583258240537
62,3275,74507,3045,1930,95,17120,31,0.8090964972147006,9.107916170970654
63,3329,73848,3039,1944,92,17717,34,0.8080421596238284,9.116184956896499
64,3279,73227,3103,1962,93,18304,35,0.8071679574595582,9.122387428342895
65,3294,72552,3117,1964,92,18946,38,0.8064070607693763,9.128717778456721
66,3309,71875,3180,1988,92,19518,41,0.8057435666714945,9.133601546208524
67,3302,71205,3244,2014,98,20095,45,0.8051777842986776,9.138704419689809
68,3334,70514,3241,2028,100,20739,47,0.8047461397401469,9.142540098114042
69,3371,69856,3214,1983,105,21422,52,0.8042837556987064,9.145928668935726
70,3327,69225,3259,1971,110,22057,54,0.8038929432984376,9.149159588286164
71,3304,68571,3295,2007,113,22659,54,0.8035440709165335,9.15267758161887
72,3313,67892,3276,2025,111,23329,57,0.8032670230902995,9.155843312037966
73,3259,67255,3278,2054,107,23991,59,0.802927197716676,9.158241051292096
74,3207,66649,3256,2072,105,24653,61,0.8027316043497937,9.161067430190132
75,3210,66015,3223,2059,106,25325,65,0.8025430145538269,9.162520458701062
76,3191,65380,3235,2042,108,25980,67,0.802336823336672,9.16441900893506
77,3107,64785,3271,2064,112,26595,69,0.8021911297591251,9.166406528720865
78,3062,64193,3231,2066,112,27267,72,0.8020578360675812,9.16829378880836
79,3096,63553,3188,2038,108,27945,75,0.8018735609253073,9.169427469578194
80,3036,62979,3191,1999,109,28612,77,0.8017183493095125,9.170664013858392
81,2992,62388,3169,1965,105,29304,80,0.8015107971770834,9.172044880306622
82,2923,61862,3166,1905,102,29960,85,0.8013046363108441,9.173617701997319
83,2879,61314,3128,1904,103,30587,88,0.8009764331470874,9.176215829708738
84,2811,60742,3123,1895,109,31234,89,0.8007355274472037,9.178935413905817
85,2784,60195,3057,1856,110,31911,90,0.8004676554560273,9.181153111707715
86,2693,59695,3043,1824,109,32544,95,0.8057618688961407,9.173379505480156
87,2690,59172,3004,1783,110,33146,98,0.8074948682066723,9.142881137718737
88,2623,58691,2924,1777,108,33777,103,0.8102065521702236,9.125536597820636
89,2533,58209,2897,1741,110,34407,106,0.8124082023272584,9.107881011256456
90,2451,57744,2846,1744,112,34999,107,0.8142565617900835,9.09212415554341
91,2389,57306,2801,1697,115,35585,110,0.8160020648108396,9.079187665730078
92,2316,56856,2744,1637,127,36208,115,0.8173861750546185,9.067175148463324
93,2253,56438,2684,1604,126,36782,116,0.8185647852909176,9.057764022312274
94,2179,56030,2593,1586,121,37372,122,0.8196587383951203,9.04958132645961
95,2142,55602,2545,1573,129,37887,125,0.8206195421506309,9.042147564460114
96,2106,55200,2472,1536,124,38438,127,0.8214187674466993,9.0361275486152
97,2016,54840,2373,1513,122,39007,132,0.8220327779357987,9.030801880401414
98,1943,54495,2290,1467,122,39552,134,0.8225624086883586,9.027069038637654
