,e,s,i1,i2,c,r,d,compliance,contacts
0,280,99152,303,267,0,0,0,0.030378009242695445,16.155637939607253
1,468,98964,247,231,0,92,0,0.03402155033347641,15.8367336369759
2,669,98763,205,199,1,165,0,0.039712917548429504,15.771558734857882
3,816,98616,165,160,2,243,0,0.04108116336200126,15.722337322923536
4,662,98490,303,217,3,327,0,0.04161337143386878,15.704268699823736
5,756,98396,263,187,6,394,0,0.04253637357819702,15.700849583711221
6,727,98237,337,213,7,481,0,0.04223904887014145,15.690225547524195
7,672,98091,411,258,9,561,0,0.04288758512806041,15.69361337640964
8,735,97881,507,309,9,561,0,0.043340830901264664,15.686991914592918
9,926,97564,588,354,9,561,0,0.04382615685396721,15.677864524430381
10,1175,97221,643,393,9,561,0,0.04443263094327175,15.670170611206082
11,1361,96876,739,456,9,561,0,0.045053688029582484,15.66123813763612
12,1570,96521,644,417,15,835,0,0.04587588206983536,15.651457682246257
13,1824,96057,774,497,15,835,0,0.04572687588360118,15.639356077873023
14,1888,95676,834,566,17,1021,0,0.04671826595662384,15.639563137280168
15,2029,95192,902,640,21,1218,0,0.047414583131198874,15.626545525636521
16,2222,94654,1016,724,24,1361,1,0.048611919758201505,15.612338502417666
17,2428,94093,1162,807,22,1489,1,0.04961087221933895,15.592553092352329
18,2597,93460,1408,931,23,1582,1,0.05082280437792631,15.575416409728202
19,2892,92784,1555,1006,23,1741,1,0.05241538839921373,15.554739185601939
20,3179,92013,1777,1122,27,1883,1,0.053607496910421666,15.529429246420607
21,3452,91202,1981,1246,30,2090,1,0.05532020928731178,15.511476993087577
22,3819,90274,2140,1331,36,2401,1,0.056857622023821344,15.485191307904975
23,4207,89253,2342,1419,41,2739,1,0.058240926590337236,15.458563430961156
24,4678,88106,2540,1552,38,3087,1,0.05991960483011658,15.433431751828689
25,5107,86906,2772,1736,40,3440,1,0.06157698234756644,15.40600261841792
26,5573,85629,2952,1903,45,3899,1,0.06400747451257796,15.372332772399384
27,6076,84198,3303,2099,47,4277,2,0.06618022137355278,15.332276825035786
28,6503,82750,3642,2297,49,4757,4,0.06886132575610435,15.292479689482933
29,6935,81171,4013,2535,51,5293,4,0.07138583775147478,15.246808731183947
30,7448,79458,4430,2757,60,5844,5,0.07471013986818295,15.199675241155834
31,8024,77605,4849,2982,66,6471,5,0.07783789258595655,15.145737112940312
32,8506,75692,5311,3275,69,7143,6,0.08111959566185907,15.095545093997021
33,9041,73709,5733,3530,81,7902,6,0.08501740248458746,15.044444964454284
34,9604,71567,6242,3789,85,8708,7,0.08862974209083159,14.99059214233201
35,10052,69406,6725,4091,97,9623,8,0.09238343823945959,14.935595142990024
36,10437,67168,7224,4424,109,10631,9,0.09643021991769142,14.886149534478028
37,10857,64835,7714,4700,123,11763,10,0.10095648288224171,14.824197384926537
38,11226,62483,8232,4965,130,12951,15,0.10499750292357686,14.764097416548438
39,11564,60003,8751,5311,136,14218,19,0.1087482353659476,14.715808175923735
40,11776,57630,9206,5586,154,15629,21,0.11333459948997951,14.66460163120477
41,11968,55200,9682,5900,171,17059,22,0.11717986305124181,14.605299206287748
42,11968,52867,10138,6198,191,18616,24,0.12170750023267572,14.551468149224611
43,11950,50533,10490,6485,212,20307,25,0.12583953984313104,14.497418352567069
44,11819,48184,10890,6712,230,22138,29,0.12999765352141643,14.446011482573756
45,11690,45940,11165,6897,241,24038,31,0.13340586637076174,14.402926086171595
46,11488,43712,11384,7125,254,26005,34,0.13648076296195213,14.36656697716675
47,11291,41576,11457,7243,266,28130,39,0.13970898028003992,14.33421821076068
48,10994,39539,11557,7316,273,30279,44,0.14163563173185365,14.303694258677936
49,10603,37581,11621,7363,295,32490,49,0.1431205215087431,14.294972133149455
50,10185,35755,11555,7340,317,34796,54,0.14429828461571673,14.295713978213566
51,9682,34030,11512,7259,339,37123,57,0.1444589901452307,14.30691034700617
52,9172,32404,11288,7139,355,39579,65,0.1439765841824127,14.327482820052328
53,8746,30793,11063,7028,369,41933,70,0.1427842703453048,14.35692153116068
54,8190,29391,10814,6805,372,44346,84,0.14154838652215163,14.39194101343871
55,7704,28051,10555,6557,382,46661,92,0.13888619206641248,14.426862431576978
56,7151,26879,10187,6316,388,48986,95,0.13601428504970764,14.477741595765226
57,6625,25779,9767,6013,392,51323,103,0.13274222173266703,14.528414299892322
58,6050,24743,9378,5769,399,53549,114,0.12902928913463002,14.584385574663635
59,5596,23795,8869,5452,399,55764,127,0.12565214749787085,14.638449795814891
60,5145,22906,8369,5156,399,57891,136,0.12143128166206289,14.69051243027495
61,4768,22111,7854,4806,379,59939,145,0.11754456392233412,14.745014548579496
62,4365,21414,7282,4520,362,61900,159,0.11296152804122934,14.799656984157696
63,3973,20770,6809,4203,354,63726,167,0.10880150117835358,14.85893660158175
64,3625,20170,6365,3870,346,65448,178,0.10434304351034042,14.916527910485462
65,3259,19647,5901,3597,338,67071,189,0.099889902099717,14.975763604259987
66,2942,19169,5395,3287,320,68688,201,0.09590792681519622,15.027649416466328
67,2673,18741,4970,3007,300,70100,211,0.09167776032126866,15.078780430339041
68,2398,18372,4545,2736,297,71435,219,0.0877434738325051,15.129006974059976
69,2128,18042,4188,2521,279,72619,225,0.08380860425971526,15.175206875863273
70,1900,17747,3835,2297,264,73725,234,0.08049389126721936,15.221060627434843
71,1699,17470,3447,2127,247,74773,239,0.07713940344539981,15.262667796700764
72,1524,17217,3099,1955,236,75725,246,0.0744243882249684,15.30057682131645
73,1352,17020,2799,1735,228,76616,252,0.07174296410230137,15.3300000723233
74,1222,16820,2521,1548,219,77416,256,0.06872934327305638,15.362004583432265
75,1090,16657,2255,1412,204,78123,261,0.06616933024291884,15.39463183567174
76,977,16493,2021,1279,178,78783,271,0.06402896804036701,15.42337874524121
77,868,16349,1806,1147,162,79392,278,0.06165834722959376,15.447400095177782
78,798,16222,1612,1015,149,79921,285,0.05971651814787898,15.47198826844161
79,706,16114,1456,893,136,80408,289,0.05786857050143453,15.49182875453759
80,632,16025,1294,790,116,80846,299,0.05596704981678458,15.510994978515708
81,559,15934,1148,731,107,81222,301,0.05425058950630743,15.532255436393886
82,491,15858,1031,662,98,81558,304,0.053163714049664905,15.54897894389402
83,413,15809,926,599,86,81861,308,0.05180220198376304,15.5612010235051
84,370,15744,828,528,80,82140,312,0.05090382433417014,15.57495829373626
85,343,15682,731,461,74,82399,312,0.04985766401639876,15.585422342953436
86,297,15637,678,408,68,82601,313,0.0489470032422208,15.595299623000072
87,261,15597,602,360,59,82808,315,0.048138004674451694,15.604578305943916
88,251,15558,528,320,58,82971,316,0.047447821170398,15.612145732800785
89,220,15524,476,273,49,83142,318,0.046666805382869984,15.619246987499077
90,189,15493,419,248,48,83286,319,0.04590702348464833,15.626875837651637
91,165,15472,364,221,43,83418,319,0.04550152331961721,15.633746984393602
92,140,15457,326,191,37,83532,319,0.045200923414316974,15.638142951467401
93,125,15433,288,179,34,83624,319,0.04455258141576588,15.640972836719815
94,109,15415,246,164,28,83721,319,0.0443850428134768,15.64677852315657
95,96,15397,214,151,30,83795,319,0.043946472836604744,15.649234646733197
96,96,15376,198,139,27,83845,321,0.04385174541596404,15.652477347457342
97,97,15360,172,115,23,83914,321,0.043509418231056196,15.65511254873674
98,81,15352,159,90,19,83979,322,0.043288317676758,15.657895435016629
99,73,15342,143,79,16,84027,322,0.04290299991491275,15.659832485858466
100,67,15330,128,72,11,84072,322,0.042627156261932024,15.66380706267749
101,54,15322,117,65,10,84112,322,0.04252059605308062,15.665316165186487
102,42,15318,105,59,9,84146,323,0.042270732759695624,15.667546145271448
103,39,15313,89,52,8,84178,323,0.04228105473005212,15.670586624665656
104,36,15306,83,47,6,84200,324,0.04221563601392161,15.66992904368425
105,31,15299,80,47,6,84215,324,0.04234319006940115,15.66941975034648
106,23,15299,64,47,6,84239,324,0.04208629633229678,15.669459767959465
107,24,15294,57,40,4,84259,324,0.04189077426311678,15.672199264299795
108,24,15289,53,31,2,84278,325,0.04193276023332279,15.673722028488331
109,21,15285,46,24,2,84299,325,0.04168600080448284,15.674141804862053
110,16,15283,37,24,2,84315,325,0.0416527900363977,15.674534827987511
111,17,15282,33,20,2,84323,325,0.04171308724781505,15.675717714437786
112,13,15281,29,19,2,84333,325,0.04169864564254788,15.676267917643266
113,9,15280,22,19,2,84345,325,0.04162678576584291,15.675847585060584
114,5,15280,20,17,1,84354,325,0.04159835959322459,15.676275574133188
115,3,15280,19,16,1,84358,325,0.0415049651624472,15.676360600735947
116,3,15279,17,14,1,84363,325,0.04155833889382885,15.678064667790593
117,3,15278,13,12,1,84370,325,0.04151932236067488,15.677037393576322
118,4,15276,13,6,2,84376,325,0.04140684080167508,15.677951713003988
119,5,15275,13,6,2,84376,325,0.04133410853283269,15.679000020813794
120,6,15274,10,4,2,84381,325,0.04132663250720519,15.678801944007946
121,6,15273,7,3,2,84386,325,0.041381339633822935,15.678906821635948
122,5,15273,6,1,1,84390,326,0.04144679369364589,15.678201798171889
123,4,15272,4,3,1,84392,326,0.04127131902194831,15.677645883609435
124,3,15272,3,4,1,84393,326,0.04143733804943167,15.67884403019534
125,2,15272,3,4,1,84394,326,0.04143873932629283,15.67815490925582
126,1,15272,3,4,1,84395,326,0.04140824377202933,15.677786693719716
127,1,15272,3,4,1,84395,326,0.04147688617353138,15.677973715392271
128,0,15272,4,4,1,84395,326,0.04129378627254477,15.677359326148432
129,1,15271,4,3,1,84396,326,0.041419164295283445,15.678921180777454
130,1,15271,3,3,0,84397,327,0.041279768188151864,15.67789779273685
131,1,15271,3,1,0,84399,327,0.04138480007177924,15.679144717732534
