,e,s,i1,i2,c,r,d,compliance,contacts
0,292,99075,325,311,0,0,0,0.012159667675669776,17.637484103437277
1,636,98731,288,273,2,73,0,0.015513654929381091,17.45478977888119
2,939,98428,246,231,4,155,0,0.023140590848446777,17.382840554419374
3,1192,98175,197,189,6,244,0,0.02718060459795148,17.290075310595014
4,1106,97969,325,263,7,333,0,0.031081015868594814,17.230774469645443
5,1258,97817,266,215,9,438,0,0.03506829951663621,17.18243579119083
6,1196,97535,425,296,11,540,0,0.0370951055202645,17.12936865111803
7,1106,97322,575,364,12,624,0,0.04057329585427926,17.105617611154152
8,1298,96877,731,461,12,624,0,0.0427139788364736,17.060960381623715
9,1595,96374,858,540,12,624,0,0.0459882097210707,17.021628786459623
10,2035,95782,948,602,12,624,0,0.048836260432756094,16.971745355696914
11,2387,95148,1112,720,12,624,0,0.051901791125245844,16.926063534218954
12,2825,94497,1061,692,19,909,0,0.05554080678314222,16.878253750306715
13,3087,93790,1316,882,17,910,1,0.05786244356795922,16.818893234782117
14,3244,93130,1422,935,22,1249,1,0.06258822563099581,16.78145024655513
15,3411,92371,1589,1057,23,1551,1,0.0652695947018352,16.710102546017616
16,3638,91510,1829,1198,22,1805,1,0.07001802698006025,16.66055016251549
17,3897,90600,2085,1387,22,2011,1,0.07406976179645525,16.594887919283455
18,4249,89541,2433,1594,22,2162,2,0.07934708153641959,16.53279076919303
19,4682,88448,2666,1739,25,2441,2,0.08461341231079447,16.450853819210096
20,5266,87105,3025,1926,30,2649,2,0.0902140940479854,16.36299373603283
21,5748,85762,3307,2060,39,3085,2,0.09636061355335376,16.279247838239524
22,6294,84306,3553,2221,45,3582,2,0.10220312779732352,16.183132542232443
23,6798,82743,3822,2419,55,4164,2,0.10861347891374855,16.0938695578383
24,7353,81095,4089,2611,60,4792,3,0.11518221497633184,16.00305077492742
25,7754,79351,4504,2888,71,5432,3,0.1217734752913846,15.901230256407969
26,8255,77507,4906,3122,76,6131,6,0.12945301718389532,15.800616487114493
27,8639,75667,5437,3387,91,6776,6,0.13668546731935274,15.689604099155117
28,9052,73691,5961,3667,98,7528,6,0.14481843537369518,15.586729766645073
29,9408,71687,6410,4005,103,8383,7,0.15283463843023815,15.474833081898288
30,9699,69652,6889,4360,120,9276,7,0.161733342093673,15.36185836844884
31,10023,67484,7403,4631,131,10322,9,0.1709743571891989,15.2388716800832
32,10372,65295,7863,4918,144,11399,12,0.18013638966171108,15.111237828781945
33,10701,62990,8296,5118,158,12726,14,0.18963567450782512,14.995842521173113
34,10983,60704,8673,5402,174,14052,15,0.19804022441291388,14.873422350432266
35,11119,58533,8964,5690,183,15496,18,0.20741133623231373,14.767175388266311
36,11213,56271,9301,5958,193,17043,24,0.21589174372814404,14.653103351208978
37,11256,54039,9661,6139,210,18671,27,0.22449950689347528,14.549473293035817
38,11151,51839,10067,6294,224,20397,31,0.23223289457062576,14.44771357114916
39,11025,49679,10380,6423,237,22224,35,0.2394324756809509,14.365953431347432
40,10977,47556,10579,6555,267,24030,39,0.2456029219181658,14.29295140017744
41,10832,45439,10738,6682,290,25980,42,0.2514155397531818,14.227751457585098
42,10496,43543,10884,6764,294,27973,49,0.2566883560051605,14.172664392193715
43,10217,41622,11039,6774,310,29989,52,0.26081674455152715,14.124295225003964
44,9836,39843,11040,6765,326,32134,59,0.2640856740282004,14.09077955326038
45,9443,38113,11017,6722,335,34309,64,0.26655516633688475,14.068590247426288
46,8926,36513,10890,6661,345,36595,73,0.2679452454475543,14.05641893609842
47,8631,34912,10591,6570,364,38857,78,0.2687111135521545,14.054598696271428
48,8154,33468,10414,6497,373,41014,83,0.2685828795174454,14.063694593680923
49,7715,32128,10089,6339,370,43270,92,0.2677891979407282,14.084741424665395
50,7223,30890,9809,6117,381,45482,101,0.26580783166696176,14.110517132250207
51,6805,29708,9437,5889,379,47678,107,0.2628551733981372,14.150393461924251
52,6308,28604,9126,5641,376,49827,121,0.25904696670949745,14.204637131000867
53,5904,27564,8679,5409,378,51936,133,0.25440232054521017,14.26856972196762
54,5469,26659,8160,5151,387,54039,138,0.24920036634811601,14.339155690398947
55,5047,25843,7768,4885,386,55925,149,0.24340475853944693,14.413589495387203
56,4636,25072,7363,4551,378,57845,158,0.23720182711104812,14.495047457549825
57,4213,24391,7003,4236,377,59612,171,0.23001815292537667,14.579258460574769
58,3793,23771,6572,3977,369,61344,177,0.22280475469671931,14.675798165654149
59,3530,23129,6134,3720,350,62952,188,0.21515440369259456,14.771762863019434
60,3280,22563,5599,3470,337,64554,200,0.20738738542281007,14.871139517080644
61,3023,22049,5190,3206,346,65980,209,0.1995641421076426,14.972867848893134
62,2789,21602,4835,2902,327,67329,219,0.19164281342262426,15.07380192866996
63,2574,21197,4457,2662,318,68567,228,0.18329105697819098,15.176252164460049
64,2309,20820,4107,2472,302,69753,240,0.17533620263922878,15.28124300609572
65,2054,20509,3750,2291,286,70870,243,0.16758909537443786,15.379296217791634
66,1836,20213,3418,2097,268,71915,256,0.16031918526041677,15.473633598023932
67,1662,19940,3138,1919,248,72831,265,0.15312902440088402,15.564629830940666
68,1479,19718,2884,1762,234,73658,268,0.1462327635937621,15.654010156321059
69,1313,19507,2659,1593,213,74439,279,0.1396508707306896,15.735914899266502
70,1218,19291,2422,1460,204,75119,289,0.13337589839406305,15.81913356376147
71,1111,19102,2215,1343,199,75738,295,0.12743608940183127,15.898779166322985
72,989,18951,2004,1185,192,76377,305,0.12176714244485062,15.971681952819198
73,893,18825,1782,1063,170,76955,315,0.1162723802911578,16.04252594179906
74,813,18694,1586,956,159,77473,322,0.11107510748266382,16.11027611423864
75,691,18600,1442,869,148,77929,324,0.10617949269619352,16.17363642246798
76,610,18492,1318,777,135,78341,330,0.10165675735694654,16.233508189735467
77,557,18394,1175,694,125,78725,333,0.09734571080216195,16.28958552027546
78,525,18300,1044,640,112,79047,335,0.09329478805802288,16.34207147205005
79,470,18224,941,578,106,79344,340,0.08964936153694972,16.389972867043085
80,449,18151,813,527,97,79624,342,0.08625718677536211,16.43494459833295
81,402,18090,749,477,87,79855,343,0.08320695473491778,16.476692419463138
82,366,18028,682,431,75,80074,347,0.08036275533818805,16.51497350343683
83,316,17984,596,395,62,80303,347,0.07770405790688018,16.55011130396
84,283,17941,529,349,54,80496,351,0.07527816915597653,16.581998695078866
85,254,17897,473,327,45,80656,351,0.07296350952089707,16.612865978565207
86,230,17860,437,298,42,80784,352,0.07096948247991018,16.64091405002831
87,196,17832,397,269,35,80920,354,0.06905618352342553,16.66683462944908
88,182,17802,368,248,30,81019,354,0.0672690747726398,16.6903903101364
89,169,17772,334,217,25,81132,354,0.06573844445943228,16.711886918070935
90,145,17752,304,193,25,81230,354,0.0642124185979565,16.73063942448233
91,143,17717,275,165,24,81324,355,0.06293876836767981,16.749059531057384
92,136,17696,243,149,23,81399,357,0.06168479871971141,16.76536803123128
93,120,17682,218,131,26,81469,357,0.06057904162945763,16.780962215009875
94,106,17666,198,120,23,81532,358,0.0595398590221656,16.794026990400475
95,98,17654,174,102,22,81594,359,0.058688991823563436,16.806926678898254
96,73,17644,173,94,20,81640,359,0.05783699193309227,16.817868705175496
97,60,17636,158,87,17,81686,359,0.05711781705848609,16.8280947547938
98,59,17623,143,72,13,81733,360,0.05646252095849818,16.836949992997322
99,53,17613,129,65,13,81769,361,0.05574017491105942,16.84530497364571
100,52,17602,117,61,15,81795,361,0.05524152790619817,16.853464593198474
101,49,17595,103,55,14,81826,361,0.05478112427646656,16.85939267415019
102,45,17591,87,49,13,81857,361,0.05436489573966567,16.86528217507802
103,36,17587,83,46,10,81880,361,0.053985428132534624,16.870419306584246
104,33,17580,70,34,8,81916,362,0.053632353712568054,16.875277690768936
105,26,17576,62,32,5,81939,363,0.05326873370398857,16.87911757793975
106,25,17570,52,35,5,81953,363,0.05299127893613986,16.88406517179487
107,29,17562,42,33,5,81969,363,0.05276497989348146,16.887265994966256
108,28,17559,37,30,4,81982,363,0.0525141348964583,16.890341419442727
109,22,17558,38,26,4,81992,363,0.052330922776635556,16.89346881498587
110,19,17557,35,25,4,82000,363,0.052067540261957194,16.896265120835025
111,14,17556,31,22,2,82015,363,0.052007271490650216,16.898504413591123
112,7,17555,29,22,1,82026,363,0.05175871663779647,16.899707737474884
113,5,17554,26,17,2,82036,363,0.051689435680129105,16.902085087114074
114,5,17553,25,12,2,82043,363,0.051592947200641365,16.90338946595618
115,5,17552,24,10,2,82047,363,0.05147586937433328,16.904979155025647
116,5,17551,22,9,2,82051,363,0.05135811037871769,16.90605239800484
117,5,17550,17,8,2,82058,363,0.051231822029144,16.90728630490973
118,6,17548,16,6,2,82062,363,0.0511836371397667,16.908868760287085
119,5,17548,10,7,2,82068,363,0.05105333079363144,16.910041612939896
120,6,17546,4,6,2,82076,363,0.051030509606770344,16.911539980889213
121,5,17546,3,5,2,82079,363,0.05086941139187653,16.912006222187273
122,4,17546,2,6,2,82080,363,0.05091536738349637,16.91281386814003
123,2,17546,3,6,3,82080,363,0.05085568123156455,16.91290806844245
124,3,17545,3,5,2,82082,363,0.05085595689032657,16.913800918334324
125,2,17544,3,6,1,82084,363,0.05078700949994163,16.913677964436392
126,2,17544,2,6,1,82085,363,0.05074182775702921,16.9143801061459
127,2,17544,2,5,1,82086,363,0.0507148876782065,16.914862892557316
128,2,17544,2,4,1,82087,363,0.05069739466812637,16.915523513911317
129,1,17544,1,5,1,82088,363,0.05067492200368399,16.91555635039265
130,0,17544,1,5,1,82089,363,0.05062309235042469,16.915832257584306
131,0,17544,0,4,1,82091,363,0.050618161818474484,16.91667960106336
132,0,17544,0,4,1,82091,363,0.05058135952467002,16.916628606612324
133,0,17544,0,2,1,82093,363,0.05058498903931739,16.917352131511645
134,0,17544,0,2,1,82093,363,0.050560260478632796,16.917079466832018
135,0,17544,0,2,0,82094,363,0.050556521007617206,16.91741038907663
136,0,17544,0,2,0,82094,363,0.05052446603451865,16.917564083951707
137,0,17544,0,1,0,82095,363,0.05052379063477581,16.917707379807933
138,0,17544,0,0,0,82096,363,0.050492105556277964,16.9176999864668
139,0,17544,0,0,0,82096,363,0.05047205157916254,16.918195315305447
140,0,17544,0,0,0,82096,363,0.05044748852828402,16.918435315128175
141,0,17544,0,0,0,82096,363,0.050412250227933615,16.91890800145976
142,0,17544,0,0,0,82096,363,0.05044572046692241,16.919192524041236
143,0,17544,0,0,0,82096,363,0.05042209346594814,16.918692949551634
144,0,17544,0,0,0,82096,363,0.05040664834681785,16.918984123626004
145,0,17544,0,0,0,82096,363,0.050399535776385146,16.919273243445772
146,0,17544,0,0,0,82096,363,0.05035897844901649,16.919366452793
147,0,17544,0,0,0,82096,363,0.050318723068615484,16.919569245245007
148,0,17544,0,0,0,82096,363,0.05035978960509579,16.919986487588922
149,0,17544,0,0,0,82096,363,0.05034034007780755,16.91995396386006
150,0,17544,0,0,0,82096,363,0.05032974597704409,16.920005258803727
151,0,17544,0,0,0,82096,363,0.05034635877181893,16.920386421172267
152,0,17544,0,0,0,82096,363,0.05033984566637057,16.920194763329857
153,0,17544,0,0,0,82096,363,0.050335804915342494,16.920169813991293
154,0,17544,0,0,0,82096,363,0.050352568894486374,16.920316677044276
155,0,17544,0,0,0,82096,363,0.05033779639219982,16.920217895593787
156,0,17544,0,0,0,82096,363,0.050359852693033266,16.92012769148757
157,0,17544,0,0,0,82096,363,0.05038861880281609,16.920122492476505
158,0,17544,0,0,0,82096,363,0.05034897528516406,16.91985155131272
159,0,17544,0,0,0,82096,363,0.050386518215987226,16.91993808950061
160,0,17544,0,0,0,82096,363,0.0503424734576774,16.919740049236996
161,0,17544,0,0,0,82096,363,0.05030462675273235,16.920425786412622
162,0,17544,0,0,0,82096,363,0.05031972478874208,16.92050182478637
163,0,17544,0,0,0,82096,363,0.05029378181044949,16.920242431409374
164,0,17544,0,0,0,82096,363,0.05036046935956781,16.92009779268375
165,0,17544,0,0,0,82096,363,0.05033440235500589,16.91989610843378
166,0,17544,0,0,0,82096,363,0.050364757392430556,16.919926408479583
167,0,17544,0,0,0,82096,363,0.05033127598481073,16.920068777936812
168,0,17544,0,0,0,82096,363,0.05033963062307165,16.920053038057784
169,0,17544,0,0,0,82096,363,0.050316467534590535,16.92029877870476
170,0,17544,0,0,0,82096,363,0.05033278562386517,16.9206124741297
171,0,17544,0,0,0,82096,363,0.050336416966775016,16.92041922094554
172,0,17544,0,0,0,82096,363,0.05033469896717693,16.92028052476387
173,0,17544,0,0,0,82096,363,0.050338411010319356,16.920189259853142
174,0,17544,0,0,0,82096,363,0.050352226656314204,16.920198420902974
175,0,17544,0,0,0,82096,363,0.050357433708495686,16.920336950389668
176,0,17544,0,0,0,82096,363,0.05031374437049002,16.919923712102413
177,0,17544,0,0,0,82096,363,0.05040335709000733,16.920075124671833
178,0,17544,0,0,0,82096,363,0.05028447161684426,16.91983520864813
179,0,17544,0,0,0,82096,363,0.05035062890959277,16.920910933288045
