,e,s,i1,i2,c,r,d,compliance,contacts
0,764,97775,708,756,0,0,0,0.8793030585322014,8.70335690833814
1,1116,97423,623,655,2,184,0,0.8793128566842878,8.695322341286866
2,1446,97093,517,558,7,382,0,0.8800228735243854,8.693759354313647
3,1726,96813,418,446,11,589,0,0.8801649504521453,8.689568315709622
4,1198,96577,778,624,13,813,0,0.8804067908418929,8.688328649892789
5,1359,96416,670,519,17,1022,0,0.8808499310798561,8.687375370506398
6,1327,96096,804,537,23,1216,0,0.8807326236297329,8.684148927502562
7,1222,95871,900,546,31,1433,0,0.8811404555336484,8.684520451569309
8,1327,95486,1072,654,31,1433,0,0.8812167993518946,8.682074742113459
9,1525,95052,1220,742,31,1433,0,0.8815652725071164,8.68138474381221
10,1786,94630,1322,801,31,1433,0,0.881751010739287,8.678617693422689
11,1876,94220,1511,932,31,1433,0,0.8821363696432986,8.677076147650073
12,2070,93801,1162,742,39,2189,0,0.8825570422579407,8.67419215388211
13,2117,93369,1409,880,37,2191,0,0.8826330121397007,8.670995217415053
14,1975,93077,1436,935,36,2544,0,0.8759220117307676,8.682482133368598
15,1910,92720,1499,964,36,2872,2,0.8737109518901238,8.719272813801956
16,1820,92400,1570,1023,40,3148,2,0.8702234228157204,8.739706083247677
17,1739,92062,1682,1094,38,3386,2,0.8677346872757032,8.760364290776712
18,1636,91733,1851,1196,35,3548,4,0.8656128466277916,8.777542328978852
19,1745,91332,1834,1185,32,3871,4,0.8639349679605626,8.790743075462391
20,1828,90892,1932,1219,33,4095,4,0.862466316716688,8.801414221868507
21,1912,90488,1870,1216,40,4473,4,0.8613093831187997,8.810732456132362
22,2000,90062,1826,1164,47,4900,4,0.8602712268252988,8.818338915981853
23,2133,89600,1753,1144,53,5316,4,0.8593551758065604,8.824778722130489
24,2147,89185,1747,1141,51,5726,6,0.8587243988731647,8.83019666851831
25,2148,88744,1776,1133,55,6141,6,0.8580453291718674,8.834656056457991
26,2206,88282,1765,1116,58,6570,6,0.8575048829324452,8.83826151893742
27,2230,87832,1857,1158,61,6859,6,0.8569695310896931,8.841931410684047
28,2217,87383,1920,1200,58,7217,8,0.8566790474035741,8.845219540750348
29,2252,86933,1991,1224,61,7534,8,0.8563259194643962,8.846995509427762
30,2317,86427,2057,1261,59,7874,8,0.8561085334139253,8.849104924348744
31,2370,85912,2160,1291,57,8205,8,0.8559609138502173,8.850445153875064
32,2417,85415,2193,1307,62,8601,8,0.8557561800022787,8.851532557140168
33,2480,84903,2186,1323,62,9041,8,0.8557016033107566,8.852488146295647
34,2529,84404,2211,1344,55,9450,10,0.8555748234792406,8.853131131518236
35,2484,83943,2265,1370,54,9877,10,0.8555623990132359,8.852928605428366
36,2481,83431,2294,1394,57,10333,13,0.8554995665062547,8.853480391926105
37,2524,82891,2350,1420,60,10745,13,0.8554061885404277,8.852166543430139
38,2549,82354,2381,1460,57,11188,14,0.8554387729000363,8.852855156045562
39,2524,81880,2402,1476,57,11650,14,0.8553711369875946,8.853294876401806
40,2562,81381,2397,1492,57,12100,14,0.8554439340542727,8.853238453456228
41,2554,80877,2431,1521,57,12548,15,0.8554392054068737,8.852799559906034
42,2527,80364,2460,1582,67,12988,15,0.8555824406139708,8.852135619596261
43,2546,79808,2484,1589,68,13493,15,0.8556912335698517,8.851587366543669
44,2613,79267,2479,1553,70,14006,15,0.855791323734924,8.850094417308044
45,2653,78728,2487,1547,70,14500,18,0.8485867586003738,8.861915729684357
46,2690,78187,2498,1528,83,14999,18,0.8462030008504796,8.902840885704897
