"","79800001","79800002","79800003","79800004","79800005","79800006","79800007","79800008","79800009","79800010","79800011","79800012","79800013","79800014","79800015","79800016","79800017","79800018","79800019","79800020","79800021","79800022","79800023","79800024","79800025","79800026","79800027","79800028","79800029","79800030","79800031","79800032","79800033","79800034","79800035","79800036","79800037","79800038","79800039","79800040","79800041","79800042","79800043","79800044","79800045","79800046","79800047","79800048","79800049","79800050","79800051","79800052","79800053","79800054","79800055","79800056","79800057","79800058","79800059","79800060","79800061","79800062","79800063","79800064","79800065","79800066","79800067","79800068","79800069","79800070","79800071","79800072","79800073","79800074","79800075","79800076","79800077","79800078","79800079","79800080","79800081","79800082","79800083","79800084","79800085","79800086","79800087","79800088","79800089","79800090","79800091","79800092","79800093","79800094","79800095","79800096","79800097","79800098","79800099","79800100","79800101","79800102","79800103","79800104","79800105","79800106","79800107","79800108","79800109","79800110","79800111","79800112","79800113","79800114","79800115","79800116","79800117","79800118","79800119","79800120","79800121","79800122","79800123","79800124","79800125","79800126","79800127","79800128","79800129","79800130","79800131","79800132","79800133","79800134","79800135"
"79800001",0,4.10401,2.41258,3.63629,5.14729,8.25196,8.38896,16.04704,19.08273,20.85311,22.01255,22.89879,23.53017,24.22121,24.04775,24.34536,22.23261,22.94596,24.34771,25.73443,25.88536,24.79829,28.42229,25.40058,26.45564,27.94556,29.33133,28.79919,30.66986,28.18612,29.25238,54.82924,25.23798,26.65168,27.08345,27.99736,26.37206,28.03898,29.37442,30.56767,29.93356,29.98698,31.17947,31.94871,30.59147,27.89508,29.63616,28.95146,31.97449,29.77248,27.3684,27.54704,29.95454,30.31782,31.81762,33.27959,37.62872,35.66254,38.15779,37.68557,38.42244,39.27498,38.98412,39.79412,39.88604,40.98592,40.21164,33.10179,36.85958,33.92098,37.47508,45.69396,42.73861,45.3116,48.78074,49.47481,66.66453,63.8073,63.03499,61.18986,48.76473,35.59666,41.53714,36.82215,39.43291,37.41293,39.36393,39.7705,39.33894,45.53216,47.63284,65.97094,54.83746,61.15903,64.97732,59.3383,44.63039,42.43634,43.14528,51.90301,48.88201,47.11527,49.77239,48.03849,52.00805,52.70204,49.41239,49.66184,51.263,60.73143,64.1725,64.71136,64.28086,48.66577,53.45837,50.12295,42.3343,42.53858,21.24607,11.76488,11.74512,19.13127,38.80619,34.82238,26.90545,42.79579,34.39281,33.37675,29.37098,26.80018,2.59182,58.73619,65.6869,47.76103,24.76442
"79800002",4.10401,0,3.59293,5.97887,9.22053,9.1745,10.94784,18.53013,21.35662,23.41565,24.07307,25.20999,26.29617,26.87015,26.27282,26.75571,23.97786,24.40542,26.28469,28.31314,28.29535,26.44816,27.81456,26.55022,27.93377,29.06486,30.32553,30.02438,31.87422,29.61606,30.64436,54.98374,27.3295,28.84332,29.13276,29.95088,28.19971,29.82096,30.94833,32.19853,31.67221,31.85568,33.04393,34.10615,32.60017,30.1516,31.75531,31.297,34.44699,32.4941,29.83359,30.15774,33.11743,30.65028,31.97316,33.05452,37.27671,36.33773,38.4307,38.10481,38.45985,39.6029,39.27843,40.03286,39.7051,41.00438,40.54693,34.02208,37.77863,35.56525,39.90836,45.72738,43.03727,45.66647,49.08907,49.71716,66.79098,63.92275,63.20616,61.31534,48.84958,36.80242,43.81579,38.87421,41.4731,38.70334,40.03565,40.85166,41.00197,46.28694,48.12829,66.437,55.78599,62.23099,66.31657,60.94924,46.65486,43.78407,44.21122,53.68737,50.3493,48.16551,50.55203,49.27301,52.33084,53.61578,49.73199,50.04043,51.74961,61.07025,64.37487,65.43566,65.59765,50.50853,54.84893,50.42961,43.06645,42.36934,22.43459,13.85779,15.33082,19.81564,38.98898,35.03372,27.35827,44.42015,36.77182,36.19594,31.88627,29.51892,1.77016,59.48799,65.7963,49.36468,27.91629
"79800003",2.41258,3.59293,0,2.38705,6.39145,6.24854,7.39106,15.0306,17.92774,19.9087,20.72786,21.77912,22.74859,23.34804,22.8731,23.29699,20.76342,21.32842,22.99435,24.81004,24.83933,23.28474,26.12302,23.64415,24.85752,26.18232,27.51743,27.08542,28.95049,26.56813,27.61815,52.74338,23.98048,25.46041,25.80361,26.66166,24.96019,26.60501,27.83153,29.05674,28.47932,28.60556,29.7976,30.74376,29.29306,26.74815,28.40389,27.86557,30.98017,28.96164,26.36349,26.64884,29.5259,28.26101,29.70886,31.07013,35.39454,33.73379,36.09426,35.66907,36.28878,37.23035,36.92837,37.72181,37.69543,38.8497,38.17048,31.26456,35.02766,32.42256,36.45816,43.56626,40.68832,43.28194,46.73881,47.41245,64.57596,61.71425,60.9584,59.09862,46.65421,33.88624,40.41932,35.55782,38.16402,35.74389,37.43885,38.01045,37.85727,43.64498,45.65265,63.99146,53.03447,59.41157,63.35193,57.8441,43.3564,40.80001,41.38236,50.49683,47.30907,45.3493,47.89835,46.3546,49.97311,50.8834,47.37458,47.64355,49.28251,58.70677,62.106,62.8249,62.64463,47.2898,51.85129,48.08149,40.43533,40.35346,19.49304,10.45015,11.8182,17.16066,36.71557,32.73523,24.88072,41.29732,33.33593,32.64623,28.40448,25.98437,1.89291,56.85724,63.59284,46.256,24.3244
"79800004",3.63629,5.97887,2.38705,0,5.16519,4.74707,5.03532,12.70856,15.65724,17.57487,18.51721,19.50041,20.3846,21.00114,20.61638,20.9957,18.65575,19.32702,20.82086,22.47568,22.5386,21.20827,25.13248,21.76481,22.84278,24.30972,25.69546,25.16698,27.03738,24.56942,25.63262,51.26391,21.7603,23.21268,23.59533,24.48172,22.82093,24.47989,25.77776,26.98165,26.36757,26.45132,27.64425,28.50516,27.09601,24.48385,26.17566,25.58005,28.66783,26.60588,24.0515,24.30958,27.13897,26.74655,28.27835,29.83491,34.21138,32.04011,34.58535,34.09047,34.89714,35.69211,35.40707,36.22586,36.41315,37.4611,36.62669,29.46682,33.22406,30.34057,34.15478,42.16004,39.15725,41.71967,45.19349,45.8976,63.09848,60.24444,59.46261,57.62638,45.21707,31.96584,38.15069,33.34762,35.9569,33.78848,35.73993,36.13553,35.76625,41.90094,44.02173,62.35731,51.20123,57.52591,61.36482,55.76474,41.15325,38.81904,39.51029,48.36343,45.28154,43.48025,46.13936,44.41283,48.41686,49.06579,45.82307,46.06404,47.65137,57.13433,60.59445,61.07901,60.6658,45.13902,49.84933,46.53517,38.70509,39.05797,17.61004,8.23207,9.54787,15.53223,35.24958,31.26596,23.32049,39.21794,31.04373,30.27898,26.08309,23.62804,4.26809,55.10324,62.12433,44.18191,21.93759
"79800005",5.14729,9.22053,6.39145,5.16519,0,9.03602,6.63725,13.25152,16.41714,17.68755,19.51876,20.01945,19.99008,20.82809,21.25145,21.28226,20.1687,21.2424,21.93978,22.40231,22.78205,22.76648,29.16795,24.0164,24.60048,26.51971,28.03,27.2107,29.06139,26.34468,27.43296,54.22458,22.58993,23.82812,24.44222,25.46247,24.05013,25.73309,27.31194,28.40235,27.63989,27.51959,28.69294,29.06075,27.9256,24.95394,26.84247,25.86812,28.67003,26.17088,24.15565,24.13288,25.76864,29.8396,31.52595,33.43212,37.85724,34.63136,37.59351,36.94412,38.15043,38.62351,38.37961,39.24729,39.86508,40.69884,39.5368,31.80697,35.49595,31.67196,34.15208,45.32809,42.07513,44.54582,48.03645,48.80664,66.01826,63.19072,62.35315,60.5766,48.30143,33.88654,38.3712,33.99882,36.59302,35.56419,38.27574,38.15507,36.9843,44.25929,46.66469,64.90369,53.23661,59.36263,62.82858,56.88193,41.75868,40.44676,41.50566,49.27646,46.67663,45.45244,48.42546,46.13412,51.21556,51.16126,48.64772,48.82061,50.27122,59.85385,63.44496,63.32854,62.16335,45.98971,51.31361,49.36778,41.12819,42.46571,19.98663,10.05414,7.36195,18.66074,38.3451,34.39562,26.37381,40.44988,31.1769,29.60033,26.05185,23.25335,7.56761,57.35459,65.06727,45.39338,20.66045
"79800006",8.25196,9.1745,6.24854,4.74707,9.03602,0,4.16052,10.08041,12.55414,14.86776,15.06194,16.36331,17.93926,18.34385,17.34421,17.97333,14.83549,15.2315,17.19409,19.67758,19.49119,17.28155,20.42218,17.43673,18.76069,19.96767,21.28209,20.89566,22.75462,20.44783,21.48175,46.57793,18.30587,19.86704,20.07546,20.84906,19.06382,20.67006,21.77389,23.02557,22.51054,22.72089,23.9054,25.07809,23.50958,21.2075,22.71858,22.40799,25.63605,23.96339,21.06094,21.52959,25.27048,22.06942,23.56694,25.08829,29.46452,27.48776,29.90893,29.45237,30.1762,31.03108,30.73708,31.54386,31.67097,32.74002,31.96897,25.02183,28.78503,26.39184,31.03084,37.44526,34.4934,37.07372,40.53866,41.22702,58.41318,55.55559,54.78502,52.93823,40.51327,27.68947,34.81945,29.78244,32.37145,29.56902,31.19267,31.7879,31.82818,37.39645,39.42096,57.76084,46.79497,53.18732,57.18573,51.77646,37.53981,34.64064,35.15729,44.51857,41.18796,39.12184,41.64993,40.16282,43.76872,44.6409,41.17179,41.42927,43.05127,52.49684,55.92444,56.57649,56.47226,41.34796,45.70243,41.88114,34.18704,34.3179,13.29779,5.27508,10.02213,10.91877,30.55427,26.57051,18.66625,35.24568,27.87005,27.74377,23.13802,21.02984,7.8994,50.6087,57.43516,40.19104,20.17949
"79800007",8.38896,10.94784,7.39106,5.03532,6.63725,4.16052,0,7.68727,10.69407,12.54244,13.63837,14.51663,15.35754,15.96585,15.65932,15.98532,13.96863,14.85181,15.99492,17.44233,17.52767,16.56008,22.75746,17.51531,18.30229,20.0429,21.51802,20.79833,22.66384,20.04659,21.12768,47.60761,16.85383,18.26292,18.70213,19.63075,18.04548,19.72174,21.14234,22.30138,21.62497,21.63628,22.82723,23.55995,22.21174,19.51084,21.24774,20.582,23.64511,21.57292,19.03036,19.27482,22.23596,23.20277,24.89077,26.83977,31.26855,28.06534,30.96425,30.33174,31.51375,32.00245,31.754,32.61775,33.24121,34.06168,32.91892,25.30369,29.02315,25.63532,29.13733,38.69198,35.45791,37.94368,41.43377,42.19431,59.41076,56.57854,55.74909,53.96311,41.67024,27.54756,33.16365,28.43491,31.0457,29.29675,31.72883,31.78335,31.0315,37.77191,40.10076,58.37638,46.87967,53.10035,56.76346,51.02196,36.24302,34.26467,35.15032,43.54551,40.63391,39.1132,41.9671,39.91346,44.62241,44.77742,42.04848,42.23398,43.71572,53.28115,56.84798,56.89571,56.07871,40.29853,45.23713,42.7676,34.61664,35.83605,13.42851,3.52759,5.86588,12.03293,31.71047,27.75888,19.73694,34.49546,26.03644,25.2556,21.05519,18.59528,9.28377,50.91683,58.45609,39.45997,17.04778
"79800008",16.04704,18.53013,15.0306,12.70856,13.25152,10.08041,7.68727,0,3.166,4.88609,6.27971,6.86937,7.86931,8.35219,8.05762,8.30048,7.18959,8.62199,8.70603,9.78347,9.84208,9.71966,20.29111,11.63388,11.64855,13.94673,15.5438,14.43245,16.21383,13.35961,14.4423,42.00847,9.35007,10.65904,11.20588,12.21252,10.82675,12.50492,14.16619,15.20297,14.40692,14.26809,15.4424,15.94479,14.70436,11.86461,13.66794,12.90443,15.95971,13.98611,11.34396,11.6277,15.24544,18.46565,20.36173,22.94759,27.26664,22.25163,25.73385,24.86289,26.70463,26.61504,26.44109,27.36366,28.75907,29.14701,27.47423,19.20378,22.74591,18.43687,21.45018,33.54794,29.96999,32.27165,35.7357,36.58289,53.65897,50.88199,49.98124,48.29146,36.33643,20.87924,25.49025,20.85602,23.46351,22.45813,25.75097,25.16943,23.73295,31.47823,34.1412,52.15932,40.17655,46.19987,49.58211,43.64414,28.6541,27.25728,28.47862,36.07304,33.43077,32.3898,35.55194,32.95877,38.82378,38.14296,36.31621,36.40369,37.68683,47.30364,51.0186,50.36282,48.9203,32.79965,38.07218,37.03784,28.44146,31.19016,8.25469,4.81705,7.28785,9.026,26.60912,22.8583,15.18388,27.19837,18.3512,17.72958,13.37559,11.02129,16.91999,44.4105,52.74223,32.14279,10.26454
"79800009",19.08273,21.35662,17.92774,15.65724,16.41714,12.55414,10.69407,3.166,0,2.6594,3.12491,3.85378,5.81148,5.93668,4.96536,5.42405,4.30991,5.9859,5.55053,7.15232,6.95298,6.70171,18.89161,9.01246,8.66707,11.14835,12.76148,11.51444,13.24123,10.33854,11.40946,39.16429,6.20031,7.56897,8.05691,9.04985,7.67504,9.3487,11.05124,12.05861,11.2473,11.10287,12.27867,12.86599,11.56292,8.82662,10.56016,9.94173,13.10856,11.4678,8.51297,8.99715,13.51225,16.13709,18.07533,20.86935,25.07179,19.43738,23.093,22.14517,24.20823,23.91059,23.76427,24.69966,26.3627,26.58847,24.74325,16.32026,19.77665,15.27527,18.55292,30.87932,27.20788,29.43879,32.88125,33.75151,50.7502,47.99219,47.07358,45.41292,33.59219,17.8099,22.49494,17.75096,20.36124,19.34499,22.85619,22.09898,20.56716,28.46997,31.21588,49.13699,37.06538,43.05596,46.41644,40.48631,25.55713,24.10944,25.38763,32.93071,30.26529,29.28254,32.50522,29.81384,35.93057,35.04622,33.44966,33.50832,34.73279,44.34508,48.09303,47.2756,45.7552,29.66383,34.90754,34.16971,25.47497,28.71113,6.35075,7.49887,10.25503,8.29504,24.00641,20.37609,13.04933,24.03282,15.41584,15.27083,10.58667,8.59959,19.80328,41.33301,49.84488,28.97851,9.02657
