WardID,age_0_10,age_10_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_80_plus
79800101,0.149841084,0.078961206,0.201228866,0.258291031,0.121135195,0.074821459,0.060543621,0.035764449,0.019413089
79800102,0.107846783,0.106032321,0.210050494,0.19163874,0.133197904,0.109519471,0.072023449,0.041809802,0.027881034
79800103,0.113377302,0.08892611,0.178277737,0.20481811,0.155998243,0.126362092,0.080535573,0.035195104,0.016509728
79800104,0.123928076,0.097704184,0.206580214,0.196684021,0.140537489,0.110949995,0.078307214,0.032399344,0.012909462
79800105,0.189864574,0.144101715,0.261112305,0.185523694,0.11225463,0.066760376,0.028215364,0.00893315,0.003234192
79800106,0.134554778,0.098092933,0.157226943,0.208853467,0.162434916,0.118226497,0.074446346,0.031198398,0.014965723
79800107,0.168476581,0.128337598,0.256082123,0.200567062,0.129572214,0.07458109,0.030632525,0.007927675,0.003823132
79800108,0.172049752,0.13187172,0.277520313,0.196268709,0.11476089,0.06750394,0.0272514,0.009233148,0.003540128
79800109,0.151014041,0.110857457,0.229545243,0.209911488,0.133374445,0.092099358,0.051700743,0.016407214,0.005090012
79800110,0.179101302,0.124100723,0.311664003,0.210169133,0.101435922,0.049077539,0.016728194,0.005235608,0.002487576
79800111,0.195434552,0.141378461,0.288604812,0.207631138,0.10966667,0.042948477,0.010414123,0.002439846,0.001481921
79800112,0.176910581,0.086190931,0.264219748,0.281627307,0.105629015,0.051681296,0.022877428,0.007891923,0.002971771
79800113,0.186637387,0.101790341,0.335513306,0.232697368,0.093106228,0.036470287,0.01042257,0.002340142,0.001022371
79800114,0.156972851,0.084416307,0.351088936,0.245598494,0.099052489,0.044758832,0.014020077,0.003246807,0.000845208
79800115,0.155715862,0.094188656,0.225652014,0.246789289,0.127130055,0.074946022,0.045612098,0.020171253,0.009794751
79800116,0.183635212,0.140476956,0.256118776,0.196532067,0.120914889,0.062129096,0.026413561,0.009792482,0.00398696
79800117,0.124122413,0.090516045,0.140352397,0.181904661,0.171115013,0.132219219,0.095296249,0.04430697,0.020167033
79800118,0.104498997,0.118899847,0.245101685,0.194694144,0.135859209,0.089327027,0.060980053,0.033993073,0.016645966
79800119,0.196004229,0.151280119,0.256891048,0.187322872,0.119698142,0.061558366,0.019985843,0.005216233,0.002043148
79800120,0.175257718,0.1664574,0.212872181,0.160517806,0.141025498,0.095288684,0.034664974,0.010139594,0.003776146
79800121,0.218403077,0.175131621,0.207775554,0.156365561,0.130041493,0.078139892,0.025386095,0.006970485,0.001786221
79800122,0.210483222,0.17459219,0.225549323,0.167618172,0.118052702,0.065733183,0.026684831,0.008792742,0.002493635
79800123,0.133791503,0.111928548,0.40904198,0.224132499,0.082661252,0.027949693,0.007044504,0.001947418,0.001502603
79800124,0.148946436,0.103406573,0.317038274,0.226189626,0.103962224,0.053670663,0.027425358,0.013136393,0.006224453
79800125,0.139597742,0.115487711,0.271149092,0.241365124,0.125620192,0.062619824,0.026840104,0.011182034,0.006138177
79800126,0.137976713,0.111113714,0.172271218,0.2004495,0.143364318,0.116449443,0.076142402,0.031403049,0.010829642
79800127,0.197375648,0.118527632,0.273630625,0.21396898,0.115059637,0.060013514,0.016682956,0.003510479,0.00123053
79800128,0.208734669,0.158395464,0.234664626,0.178608278,0.122475452,0.068595724,0.020818924,0.00585636,0.001850504
79800129,0.200023572,0.160923126,0.235478566,0.150660634,0.100908502,0.098148615,0.039517649,0.010742655,0.003596682
79800130,0.183547282,0.153967709,0.221426245,0.166175823,0.121844865,0.074319373,0.039861327,0.02828012,0.010577257
79800131,0.217817205,0.182526334,0.219009623,0.138600642,0.104890816,0.083639545,0.035678731,0.012734654,0.005102449
79800132,0.173407182,0.098888267,0.205792358,0.269283935,0.131799865,0.065407505,0.034977555,0.014574975,0.005868357
79800133,0.186008278,0.130979498,0.313579616,0.199030105,0.095996882,0.053886708,0.014833049,0.004053415,0.00163245
79800134,0.14947058,0.099182723,0.200259867,0.230055306,0.130631172,0.090846828,0.065780187,0.02524263,0.008530707
79800135,0.214682653,0.16027593,0.200352472,0.220792667,0.135608239,0.052000989,0.012029126,0.003162659,0.001095265
