"Sub-District","WardID","Cases"
"G","79800001",6.29012383780604
"G","79800002",5.8338280299785
"G","79800003",5.48178862860455
"G","79800004",7.95973019811585
"G","79800005",8.1627484329556
"G","79800006",6.88473433019224
"G","79800007",7.92284654782769
"G","79800008",8.58578429431429
"G","79800009",5.7322142865702
"G","79800010",6.6294569996666
"D","79800011",8.05028363312019
"D","79800012",6.60657423498189
"D","79800013",7.46200414813798
"D","79800014",6.42729216888378
"D","79800015",6.48019723543577
"D","79800016",6.52856831196795
"D","79800017",9.79964173941138
"G","79800018",7.36153849952408
"D","79800019",6.27233843942923
"D","79800020",6.92763400474585
"D","79800021",7.07907627124267
"D","79800022",7.66786685886521
"F","79800023",17.9896489569017
"D","79800024",8.60366303206678
"D","79800025",8.61261590628814
"D","79800026",6.13677135709343
"F","79800027",18.1794854188119
"D","79800028",7.00501932507261
"D","79800029",7.30492961043374
"D","79800030",8.61601583931459
"D","79800031",6.48408234713158
"E","79800032",27.8481282065627
"D","79800033",6.75235620141421
"D","79800034",5.5538173065692
"D","79800035",5.70715169390704
"D","79800036",6.30524363779315
"D","79800037",7.27574128046024
"D","79800038",5.25394441559868
"D","79800039",6.00719967269194
"D","79800040",6.58857995551299
"D","79800041",7.16545941115791
"D","79800042",5.8004381489793
"D","79800043",6.32462772517684
"C","79800044",14.1469396123947
"D","79800045",7.5394504496769
"D","79800046",8.24508751654967
"D","79800047",7.11501704926562
"D","79800048",7.78722790281413
"C","79800049",12.7841065117644
"C","79800050",6.43868597774104
"D","79800051",6.87327286265753
"D","79800052",6.70446452600191
"D","79800053",8.00717767759082
"F","79800054",22.8691040579091
"F","79800055",17.7963906283193
"F","79800056",17.379065367285
"F","79800057",20.4951665690402
"F","79800058",21.429355089102
"F","79800059",3.09850240114387
"F","79800060",22.0233287329565
"F","79800061",9.48550895792566
"F","79800062",15.4753367453479
"F","79800063",13.884444086922
"F","79800064",20.425728303069
"F","79800065",14.8271063347905
"F","79800066",25.40249189434
"F","79800067",12.0673375871008
"B","79800068",25.4982510857694
"B","79800069",23.7216237824814
"C","79800070",8.57481249585467
"C","79800071",8.69910200443953
"E","79800072",14.4862506616521
"E","79800073",22.0295948188034
"E","79800074",21.251956905161
"E","79800075",17.8977708026134
"E","79800076",17.3855565675506
"A","79800077",14.62952898112
"A","79800078",18.2098130487949
"A","79800079",15.3796161085972
"A","79800080",12.809561494438
"E","79800081",26.1834796801914
"B","79800082",31.8418346032283
"C","79800083",5.90101202070478
"C","79800084",9.17085254515482
"C","79800085",7.1366601154356
"B","79800086",32.7142225006312
"B","79800087",21.3553602130471
"B","79800088",20.2468804632021
"C","79800089",7.20354722338495
"B","79800090",20.5756256177782
"E","79800091",20.551117981084
"A","79800092",14.0343892682301
"E","79800093",26.8442370519817
"A","79800094",9.07178976898912
"A","79800095",17.5489978745173
"A","79800096",18.1250513382432
"C","79800097",13.2633550026557
"B","79800098",27.2723521920524
"B","79800099",18.1047614294188
"C","79800100",13.6890881210487
"C","79800101",9.89397297672688
"B","79800102",29.5833410772092
"E","79800103",28.6815847355707
"B","79800104",26.4770777754338
"E","79800105",33.9365745673456
"E","79800106",25.4022363047551
"E","79800107",21.8952112266155
"E","79800108",25.4134129022828
"E","79800109",19.7483059629357
"A","79800110",14.1681592237173
"A","79800111",17.9821724555997
"A","79800112",13.099088318365
"A","79800113",30.5645145022338
"C","79800114",9.66790277171736
"A","79800115",13.3613425159491
"E","79800116",16.4445816248943
"B","79800117",17.608669259748
"F","79800118",15.6058749133511
"G","79800119",9.02353917933303
"G","79800120",8.28324387189246
"G","79800121",9.34922900825849
"G","79800122",9.04188233331858
"F","79800123",24.1393107886488
"F","79800124",24.069838586699
"F","79800125",20.3569745803357
"C","79800126",7.80887184294858
"C","79800127",10.7054740601952
"C","79800128",12.9172026448286
"C","79800129",10.3143759397643
"D","79800130",6.87597255088049
"G","79800131",6.45731152164181
"A","79800132",13.6324846214326
"A","79800133",17.3834904797725
"C","79800134",6.68403813324021
"D","79800135",10.0531955516787
