,e,s,i1,i2,c,r,d,compliance,contacts
0,299,99075,318,311,0,0,0,0.8787336817211943,8.164915579696073
1,431,98943,269,266,2,92,0,0.8789288510461013,8.160271018711407
2,572,98802,225,225,5,174,0,0.878996732687253,8.15901023160425
3,698,98676,171,177,8,273,0,0.8789797079104832,8.159129235959703
4,509,98566,318,242,10,358,0,0.8788683337655938,8.158851563126065
5,578,98497,269,204,12,443,0,0.879100827354331,8.159619328041106
6,566,98377,303,216,13,528,0,0.8788519943289487,8.157895985727874
7,519,98283,349,223,16,613,0,0.8788653482542904,8.159630522970806
8,584,98092,421,277,16,613,0,0.8788669878835901,8.159709111248443
9,753,97813,492,316,16,613,0,0.8791122993382955,8.15969419894277
10,928,97569,537,340,16,613,0,0.8789508994222196,8.159103241844774
11,1013,97364,619,378,16,613,0,0.8793431673392689,8.158422925170512
12,1114,97169,494,298,20,908,0,0.8793868550890063,8.156441122695954
13,1125,96967,606,377,18,910,0,0.879268180968558,8.155963927799965
14,1020,96793,707,423,15,1045,0,0.8577638711153315,8.193018692427565
15,959,96610,775,458,14,1186,1,0.8540995712966478,8.310607805309745
16,965,96399,836,476,15,1311,1,0.8487548373403588,8.344905989809803
17,964,96205,879,518,14,1422,1,0.8468725404653983,8.372053041268552
18,953,96014,952,578,13,1492,1,0.8455023911298257,8.38482272418572
19,1003,95790,972,612,12,1612,2,0.84502380444387,8.392515596772252
20,1047,95563,1017,656,13,1705,2,0.8446676117464308,8.395049394112224
21,1066,95333,1031,662,14,1895,2,0.8443331228153009,8.397817188933786
22,1119,95086,972,636,17,2171,2,0.8442582652277184,8.398062169735836
23,1162,94852,939,616,18,2414,2,0.8443546626031728,8.39819194380124
24,1206,94584,946,628,15,2621,3,0.8443548426163042,8.397082365768004
25,1223,94340,967,639,18,2813,3,0.8444541806177484,8.396822932051595
26,1261,94072,998,636,21,3012,3,0.8443099043246124,8.396972375054895
27,1298,93788,1052,655,24,3183,3,0.8444780286335268,8.3963984885746
28,1343,93509,1080,678,26,3363,4,0.8443906290250421,8.396078247286745
29,1368,93216,1109,706,27,3573,4,0.8445924300484651,8.395224486182972
30,1442,92898,1146,719,29,3765,4,0.8446077919820731,8.39438045013341
31,1514,92558,1179,763,31,3954,4,0.8445976908819882,8.394403132023507
32,1550,92238,1218,784,32,4177,4,0.8447022951818673,8.393937092580195
33,1606,91903,1254,800,35,4401,4,0.8447761953183618,8.39312579400076
34,1633,91583,1293,824,33,4631,6,0.8448604981089094,8.393687146840554
35,1639,91259,1332,856,36,4875,6,0.8446293175554759,8.392446707523046
36,1627,90931,1405,889,39,5106,6,0.8450336067416113,8.39283630264597
37,1664,90574,1461,885,39,5374,6,0.844951785581425,8.390246548505297
38,1713,90190,1521,916,38,5619,6,0.8449904766280946,8.391762876492033
39,1781,89802,1564,925,38,5887,6,0.8450269202150714,8.39137083696853
40,1867,89392,1591,938,38,6170,7,0.8453276004565462,8.390546187357534
41,1967,88964,1612,966,40,6445,9,0.8451979536252098,8.388567926578174
42,2025,88549,1649,993,39,6738,10,0.8453079872830657,8.389667305755564
43,2069,88121,1673,1035,40,7054,11,0.8454046339173121,8.388421437956598
44,2111,87691,1725,1031,43,7390,12,0.8454927532196538,8.38815473084488
45,2141,87251,1764,1082,41,7712,12,0.8234876407235725,8.423949169661146
46,2165,86799,1807,1132,43,8045,12,0.8199053333239714,8.547978684627731
47,2224,86325,1867,1167,42,8365,13,0.8146588167860863,8.582573752874643
48,2259,85862,1912,1226,43,8687,14,0.812489788902831,8.61151585892041
49,2270,85421,1984,1256,49,9009,14,0.8114713509371831,8.625153675544004
50,2346,84905,2029,1294,51,9364,14,0.8108491767935514,8.63164045229055
51,2402,84397,2082,1309,57,9742,14,0.8107473681342765,8.63416300750045
52,2426,83899,2117,1360,59,10127,15,0.7886128329983494,8.674928047804297
53,2505,83357,2146,1384,60,10536,15,0.784705242503319,8.803987521283517
54,2620,82801,2158,1385,67,10956,16,0.7795573049575012,8.841019251543875
55,2647,82258,2218,1426,68,11369,17,0.77738403201816,8.870464249909706
56,2711,81686,2277,1447,70,11794,18,0.7760757069007923,8.886720283672744
