,e,s,i1,i2,c,r,d,compliance,contacts
0,307,99075,333,288,0,0,0,0.8790201316190737,8.640668979671837
1,428,98954,284,244,3,90,0,0.8791065106865548,8.638498455328369
2,542,98840,242,200,5,174,0,0.8790256936962881,8.638390255980767
3,651,98731,196,164,9,252,0,0.8787863743332762,8.638317866291095
4,438,98637,352,237,11,328,0,0.8789461056711084,8.63925105313927
5,504,98571,294,198,14,422,0,0.8789745610883588,8.639466964697418
6,504,98450,323,193,18,515,0,0.8789336357253846,8.638059819065587
7,512,98328,343,199,20,601,0,0.8789054446530169,8.638722779218913
8,561,98170,410,241,20,601,0,0.8788913067645402,8.63921954433768
9,634,98003,472,273,20,601,0,0.8791497287939963,8.63891232844418
10,747,97824,515,296,20,601,0,0.8790346517498592,8.63839955805252
11,776,97674,592,340,20,601,0,0.8791439500467418,8.638118568929873
12,819,97509,461,286,25,903,0,0.8790894838679516,8.637411739908398
13,840,97330,545,360,22,906,0,0.8791766717088375,8.637326744053677
14,817,97186,576,375,21,1028,0,0.8577257598084976,8.67386219942269
15,810,97014,617,399,18,1144,1,0.8539994346341494,8.790266389614885
16,863,96811,634,423,17,1254,1,0.8487026153420688,8.824711528012577
17,886,96623,679,449,15,1349,2,0.8466535321003434,8.852805784354
18,901,96429,730,511,14,1416,2,0.8454187827070366,8.866223915516487
19,973,96213,757,507,17,1533,3,0.8447127927195942,8.872290274082868
20,1006,96008,794,520,20,1652,3,0.8443757636669763,8.87669903154801
21,1083,95728,841,518,22,1808,3,0.8442728754134237,8.87895198356383
22,1183,95440,860,520,24,1973,3,0.8440712846838766,8.879153649974555
23,1233,95196,863,532,27,2149,3,0.8439959895636371,8.878984894460205
24,1258,94955,910,551,24,2301,4,0.8441298024886597,8.878825201016522
25,1314,94694,930,571,26,2464,4,0.8440801028061776,8.879166432548866
26,1320,94408,1020,582,27,2642,4,0.8442441008463648,8.879335943248472
27,1341,94099,1104,642,28,2785,4,0.8441973530079523,8.877754546955519
28,1409,93787,1149,669,28,2957,4,0.8443469243815868,8.877610971646142
29,1518,93437,1165,691,34,3154,4,0.8445882230568432,8.875229173252556
30,1614,93080,1192,737,35,3341,4,0.8445683858569832,8.874637137486664
31,1638,92770,1266,755,33,3537,4,0.8444892323194577,8.87498650689985
32,1641,92458,1328,786,33,3753,4,0.844928464689318,8.873810447953545
33,1703,92084,1399,822,34,3957,4,0.8449088435987776,8.87104658565541
34,1750,91687,1431,860,33,4237,5,0.8450790377118721,8.870855444545086
35,1791,91289,1469,891,34,4523,6,0.8450033833831548,8.868789374956494
36,1859,90911,1530,896,34,4766,7,0.8451897375537262,8.866745565914254
37,1941,90517,1573,924,37,5004,7,0.8451429996454778,8.866013440580245
38,1935,90149,1647,963,42,5259,8,0.8453310724318187,8.866345344522001
39,1929,89758,1710,1011,49,5538,8,0.8454533903790321,8.861832150083737
40,1936,89353,1769,1041,57,5839,8,0.8453838075663537,8.861499623304637
41,1947,88964,1811,1065,51,6156,9,0.8454407262336032,8.861363089088844
42,2006,88511,1854,1066,57,6498,11,0.845541706029033,8.861495671189946
43,2092,88057,1843,1088,57,6854,12,0.8455210407022777,8.861248856868414
44,2138,87620,1876,1136,56,7165,12,0.8456426322196435,8.860550057214406
45,2164,87189,1926,1179,60,7472,13,0.8238054979275153,8.898436467304483
46,2262,86702,1944,1176,65,7841,13,0.8202787470128028,9.021125744280111
47,2323,86188,1987,1189,70,8232,14,0.8147896937488069,9.055751828943222
48,2350,85707,2019,1213,74,8626,14,0.8130221649701586,9.084536287484502
49,2381,85239,2048,1243,71,9006,15,0.8116756774953466,9.096212665787618
50,2481,84708,2059,1269,73,9397,16,0.8109705072627835,9.103024315087412
51,2507,84195,2148,1299,71,9765,18,0.8105426834957231,9.107407431542454
52,2483,83705,2228,1342,69,10157,19,0.7886706700919976,9.150117315375748
53,2579,83128,2273,1373,74,10557,19,0.784560726408056,9.278944679406584
54,2673,82566,2298,1427,69,10949,21,0.779511368259006,9.316587471973074
55,2721,81987,2324,1479,74,11395,23,0.7774189877057115,9.346388863280156
56,2811,81384,2364,1498,77,11846,23,0.7762993213773697,9.359645032784806
57,2915,80790,2391,1524,76,12282,25,0.7756238454040184,9.366137382493266
58,2907,80221,2472,1589,74,12713,27,0.775520622784458,9.37022731560314
59,2866,79700,2517,1619,68,13205,28,0.7753355048054599,9.37124191966162
60,2869,79118,2560,1641,71,13716,28,0.7754207058381888,9.371951967848164
61,2855,78529,2642,1681,75,14192,29,0.7754773249498927,9.370737252328684
62,2885,77905,2735,1714,72,14662,30,0.7755236711262053,9.369871098344607
63,2949,77272,2768,1719,69,15196,30,0.7757171375828024,9.368586801411153
64,3021,76679,2777,1718,71,15707,30,0.7758273617818301,9.3673133230693
65,3096,76022,2838,1749,70,16197,31,0.7758714250891705,9.366568769824498
66,3124,75405,2849,1750,75,16769,31,0.7758891149371794,9.365970730252737
67,3122,74783,2892,1769,75,17330,32,0.7757908046025105,9.366508773409816
68,3117,74155,2914,1801,78,17902,36,0.776048903837901,9.366885584806294
69,3144,73535,2930,1775,81,18502,36,0.7759172230640791,9.36594478388116
70,3132,72890,2929,1839,81,19096,36,0.7759203169667178,9.365987190785601
71,3106,72299,2964,1852,88,19658,36,0.7762892215456837,9.365363255030184
72,3071,71712,2997,1920,84,20182,37,0.7763910567402984,9.362715127008563
73,3049,71106,3068,1895,86,20758,41,0.7764755547804494,9.362386546567501
74,3024,70511,3092,1902,89,21344,41,0.7766536374999613,9.36162877362893
