,e,s,i1,i2,c,r,d,compliance,contacts
0,751,97775,749,728,0,0,0,0.879373445962679,8.685842560628055
1,1124,97402,650,633,0,194,0,0.8792938781798276,8.677695425158168
2,1526,97000,543,506,2,426,0,0.8800623463738781,8.676757723176955
3,1796,96730,439,412,4,622,0,0.8801943469862531,8.672116077747855
4,1295,96480,806,600,5,817,0,0.8806225517040369,8.670724447660017
5,1465,96310,700,494,14,1020,0,0.8810842881743332,8.668249039454725
6,1410,95992,815,531,16,1239,0,0.8815394783609287,8.66399100096249
7,1273,95727,940,586,20,1457,0,0.8821161887645806,8.659555264856559
8,1380,95350,1109,687,20,1457,0,0.8826315418489034,8.655491399032712
9,1517,94963,1252,794,20,1457,0,0.883235453180308,8.650875667104458
10,1703,94607,1366,850,20,1457,0,0.8838880536269226,8.64656043772412
11,1758,94234,1569,965,20,1457,0,0.8844560178125508,8.641770455975475
12,1836,93891,1253,795,34,2194,0,0.8851682375064336,8.637379377953051
13,1922,93428,1502,923,34,2194,0,0.8858330710070714,8.631656234022882
14,1874,93089,1518,921,35,2566,0,0.8812778505765366,8.635464877066442
15,1920,92687,1500,893,44,2959,0,0.8802172171519645,8.659218476539694
16,1912,92322,1572,924,44,3229,0,0.8780315973292246,8.67022889352402
17,1904,91987,1646,943,42,3480,1,0.8764682707192843,8.682603032739744
18,1794,91634,1817,1065,43,3648,2,0.8750810474168468,8.692877640231055
19,1801,91288,1812,1091,42,3966,3,0.8740558710131006,8.701659985810945
20,1774,90913,1909,1131,48,4225,3,0.873075290406817,8.70788130693847
21,1810,90512,1871,1157,52,4598,3,0.8724261742671819,8.713479247514234
22,1900,90087,1849,1127,57,4980,3,0.8719515049414919,8.717132937466106
23,1952,89682,1850,1123,64,5329,3,0.8716838680545361,8.71948666276525
24,2034,89254,1831,1115,55,5710,4,0.8716396033033905,8.719956117112746
25,2030,88883,1838,1140,64,6044,4,0.8714315157960781,8.719907447803237
26,2027,88485,1797,1119,68,6503,4,0.8716412871517955,8.719912880360303
27,2035,88052,1873,1129,61,6846,7,0.8716977908392183,8.718105315077056
28,2049,87633,1894,1111,69,7240,7,0.8719015135382079,8.715975448728793
29,2058,87196,1945,1123,72,7600,9,0.8721751871282529,8.714160219901592
30,2141,86742,1961,1143,72,7935,9,0.8725483470117814,8.70980138871163
31,2190,86295,1991,1158,79,8281,9,0.8727950710827481,8.707129055834555
32,2186,85866,2043,1193,78,8625,12,0.8732922615756045,8.704944288076911
33,2228,85405,2073,1207,80,8996,14,0.8736413084706233,8.700117885090206
34,2241,84955,2110,1206,83,9394,14,0.8741570016960416,8.697113040900105
35,2223,84519,2106,1239,81,9820,15,0.874561540634264,8.693174761844322
36,2251,84044,2113,1274,80,10225,16,0.8749474666469638,8.690544394986668
37,2319,83547,2114,1274,72,10658,19,0.8752294159835322,8.686528303837559
38,2303,83102,2156,1322,70,11030,20,0.8754212524007757,8.684895181450008
39,2338,82617,2159,1371,69,11427,22,0.8756321682912934,8.684118841487042
40,2425,82094,2150,1383,65,11862,24,0.8757503601770816,8.682385378659625
41,2410,81634,2175,1414,63,12281,26,0.8759302556360726,8.681316472320082
42,2390,81157,2202,1447,65,12716,26,0.8761788430780016,8.679583078418315
43,2431,80671,2215,1425,61,13172,28,0.8763808123275705,8.67797765118247
44,2411,80206,2220,1458,63,13615,30,0.8765220852105564,8.676421228516578
45,2343,79751,2266,1506,63,14044,30,0.8714092936300069,8.684532774609792
46,2354,79280,2265,1506,65,14501,32,0.869679095865132,8.712372898539492
47,2385,78772,2311,1487,68,14947,33,0.8669274634048889,8.728125928111279
48,2386,78285,2327,1521,68,15382,34,0.8648215177879209,8.744833202065461
49,2398,77808,2341,1497,73,15852,34,0.863063524798983,8.75910428254841
50,2378,77373,2307,1489,72,16350,34,0.8613653427841472,8.770541544845319
51,2434,76846,2312,1510,77,16790,34,0.8600156668284289,8.781278427026562
52,2374,76398,2332,1513,83,17269,34,0.8535990814708326,8.799083476967466
53,2380,75905,2336,1473,81,17793,35,0.8508482325369737,8.83509585736707
54,2405,75403,2350,1476,83,18251,35,0.8470853557148633,8.858270359762994
55,2391,74982,2302,1482,83,18727,36,0.8441218513166611,8.881326976600263
56,2303,74543,2355,1470,87,19208,37,0.8416677359002336,8.900871662857208
57,2325,74073,2339,1469,88,19672,37,0.8394987979733052,8.916688093075969
58,2292,73613,2370,1476,85,20129,38,0.8375730197855107,8.931038735904941
59,2231,73172,2402,1475,82,20603,38,0.8359700664577552,8.944087966695252
60,2268,72714,2360,1430,84,21108,39,0.8344791119651696,8.955280929618613
61,2245,72298,2316,1426,84,21591,43,0.8332111039334313,8.965023212144837
62,2225,71848,2324,1411,83,22068,44,0.8321445242117075,8.97382347608424
63,2221,71392,2376,1384,84,22502,44,0.8311424813190732,8.981650881731818
64,2216,70956,2305,1369,88,23021,48,0.8303429451405228,8.988808738072308
65,2170,70544,2315,1369,91,23464,50,0.8297376335546639,8.994386421695115
66,2222,70076,2273,1334,97,23950,51,0.8294715652144555,8.997130087194185
67,2158,69690,2230,1325,96,24450,54,0.8292023915943789,8.997334575367875
68,2143,69249,2239,1351,91,24873,57,0.8290873019929555,8.998549006494917
69,2080,68876,2225,1362,90,25311,59,0.8288682697766879,8.999938865402532
70,2055,68489,2180,1349,85,25786,59,0.828629998299989,9.001482332596597
71,1972,68104,2149,1388,82,26247,61,0.8282926757086283,9.003551371280551
72,1960,67730,2117,1365,84,26685,62,0.8281327525453663,9.005995781877548
73,1892,67357,2115,1350,83,27143,63,0.8279193025698518,9.00720457829668
74,1922,66954,2099,1323,86,27555,64,0.8278489474555633,9.008592267371641
75,1933,66556,2061,1298,83,28006,66,0.8276410544833132,9.008782070535323
76,1885,66219,2016,1272,73,28470,68,0.827427864709785,9.009925749489467
77,1859,65871,1981,1245,69,28908,70,0.8270736268594768,9.011936471084985
78,1819,65538,1954,1233,66,29321,72,0.8265944807539038,9.015603208804498
79,1745,65209,1912,1210,69,29786,72,0.8261815572825885,9.020338938414433
80,1619,64937,1925,1209,65,30175,73,0.8256463961184104,9.023775735103905
81,1613,64606,1846,1184,65,30613,76,0.825234286744211,9.027600213356957
82,1623,64248,1816,1189,68,30983,76,0.8249359792934743,9.03068221847326
83,1616,63922,1771,1180,74,31363,77,0.8246755295026315,9.032944258504042
84,1571,63638,1759,1136,69,31750,80,0.8245576734764537,9.033995973163009
85,1622,63315,1707,1086,70,32121,82,0.8244083870031865,9.03530037601868
86,1610,62996,1674,1077,68,32496,82,0.8295623353247131,9.027334387004084
87,1536,62712,1662,1044,65,32901,83,0.8313127596473905,8.998092680746137
88,1460,62462,1622,1012,69,33294,84,0.8340285024339598,8.981650655614763
89,1438,62200,1577,1004,70,33630,84,0.8362126753848085,8.964750118640179
90,1389,61926,1565,991,66,33982,84,0.8379485548855364,8.949813180913118
91,1299,61697,1557,985,63,34318,84,0.839521462667735,8.93823529909892
92,1255,61457,1512,985,67,34642,85,0.8409142783716163,8.928064805417053
93,1253,61209,1496,979,66,34915,85,0.8420395736991261,8.919194012798918
94,1242,60958,1454,952,68,35243,86,0.8430465687109348,8.91216810933876
95,1193,60733,1384,938,66,35601,88,0.8438121125184503,8.90587578791115
96,1189,60508,1325,900,67,35925,89,0.8445193417474965,8.900769701707125
