,e,s,i1,i2,c,r,d,compliance,contacts
0,307,99075,333,288,0,0,0,0.8789840528947341,8.640601533550917
1,426,98956,284,244,1,92,0,0.8791094815500572,8.639118168591384
2,542,98840,242,200,2,177,0,0.8787784731128022,8.639054302124773
3,646,98736,196,164,5,256,0,0.8784146315868029,8.640053448757644
4,436,98639,353,236,6,333,0,0.8787608641866257,8.641662407605468
5,510,98565,295,197,7,429,0,0.8787734064940094,8.64080585080318
6,522,98434,324,190,10,523,0,0.8787774051419104,8.639792287358162
7,529,98311,339,203,11,610,0,0.8786178826765683,8.639793764321896
8,574,98162,396,250,11,610,0,0.8786867878654526,8.640745237083093
9,631,98008,459,284,11,610,0,0.8790808729559733,8.640461063135623
10,737,97828,510,307,11,610,0,0.8788063460768207,8.638367983360043
11,773,97661,600,348,11,610,0,0.8789058631549616,8.63915522247879
12,829,97482,483,281,15,913,0,0.8787572586747925,8.639411610409784
13,843,97319,572,341,14,914,0,0.8788686876520412,8.639322844220276
14,827,97181,585,363,14,1032,1,0.8431380691473285,8.700598692438632
15,827,97001,628,384,13,1149,1,0.8430063874158491,8.886315578159516
16,832,96829,681,394,13,1253,1,0.8430190262658538,8.88919215536975
17,831,96651,731,426,12,1351,1,0.843148942508759,8.88746154863285
18,900,96419,781,465,9,1428,1,0.8432990614769325,8.88631746333459
19,1031,96150,788,465,10,1558,1,0.8432498018123364,8.8851883567838
20,1079,95922,823,487,11,1680,1,0.8431006462281841,8.886257087840132
21,1161,95668,840,493,13,1827,1,0.8433431549346486,8.885826302450196
22,1243,95408,864,493,14,1980,1,0.843208119112236,8.885857727438758
23,1252,95167,909,500,16,2158,1,0.843132337884251,8.885872542274724
24,1223,94927,967,544,16,2323,3,0.8432783761458986,8.885383125365266
25,1339,94583,996,564,18,2500,3,0.8432443487698863,8.884796977669932
26,1401,94267,1037,614,21,2660,3,0.8434604633435698,8.885432792824457
27,1442,93966,1103,670,21,2798,3,0.8433721008009906,8.884705825373507
28,1531,93636,1135,699,26,2973,3,0.843578722608502,8.883240546979728
29,1635,93292,1178,724,32,3139,3,0.843891906611909,8.880859297705257
30,1633,92950,1273,795,33,3316,3,0.8437145011830415,8.878989647579282
31,1634,92633,1306,846,34,3547,3,0.8435477873924663,8.880229295694738
32,1679,92287,1330,854,38,3812,3,0.8442279257671645,8.880399840730421
33,1719,91917,1380,906,42,4036,3,0.8440586935661004,8.87800526049033
34,1770,91522,1464,912,44,4288,3,0.8441360916767314,8.877405237150008
35,1891,91059,1512,946,47,4544,4,0.8439545159495208,8.87772203505783
36,1996,90637,1559,975,50,4781,5,0.8441863726885094,8.876141850913283
37,2064,90223,1608,1032,53,5018,5,0.8439776230506871,8.87551354936081
38,2077,89840,1623,1043,51,5364,5,0.8443527865092408,8.875823826332274
39,2091,89431,1698,1047,53,5678,5,0.8444497436122445,8.874943991925504
40,2053,89006,1797,1110,53,5978,6,0.8441592648926275,8.874598687489142
41,2086,88551,1872,1127,50,6309,8,0.8440511903189398,8.87572955534424
42,2110,88113,1907,1162,51,6652,8,0.8441183557256166,8.875173449706013
