,e,s,i1,i2,c,r,d,compliance,contacts
0,303,99075,307,318,0,0,0,0.878628337755381,7.645222103856753
1,482,98896,263,281,2,79,0,0.8786021953208029,7.64129408992711
2,628,98750,221,245,2,157,0,0.8790468353581817,7.640528171436538
3,752,98626,180,182,5,258,0,0.8791693076833808,7.63807150484261
4,530,98545,331,254,7,336,0,0.8793595079631732,7.6368049301860115
5,594,98481,291,201,10,426,0,0.879663188780644,7.635704767689072
6,523,98373,345,227,11,524,0,0.8797617263627444,7.63369072313438
7,485,98265,395,233,13,612,0,0.8800745203429943,7.632941973057864
8,543,98083,468,284,13,612,0,0.8802353076126381,7.630829382532689
9,627,97918,518,315,13,612,0,0.8805612504157911,7.6293258910562285
10,763,97718,564,333,13,612,0,0.8808203725660496,7.626811012868639
11,848,97525,630,375,13,612,0,0.8811915039279221,7.6245344352656295
12,923,97342,494,316,20,908,0,0.8815685870845849,7.621812875456277
13,964,97119,603,389,18,910,0,0.8818911238482864,7.618840772884555
14,980,96938,589,389,19,1088,0,0.8823260182455648,7.616333969989896
15,1009,96709,629,403,17,1236,0,0.882696885563547,7.612660674883267
16,1005,96520,677,424,17,1359,1,0.8832164964851063,7.609676932149252
17,1061,96281,739,464,15,1442,1,0.8837123805641831,7.6060889441202875
18,1066,96053,830,532,14,1507,1,0.884263279067199,7.6023374922192435
19,1088,95850,874,561,13,1614,3,0.8848887134203314,7.598237931967219
20,1139,95570,961,595,15,1720,3,0.8855122504453815,7.593700504353181
21,1212,95308,969,594,16,1901,3,0.886211654519235,7.589065124602384
22,1296,94985,1021,616,19,2063,3,0.886894172723509,7.584117088806791
23,1335,94718,1033,632,20,2262,3,0.8876478533406394,7.579235258786364
24,1388,94462,1038,637,20,2454,4,0.8884078717637212,7.574098986249033
25,1361,94209,1107,665,22,2635,4,0.8891747112794529,7.569101720585006
26,1339,93969,1122,689,23,2857,4,0.889951661720766,7.564073733192808
27,1278,93707,1204,749,24,3037,4,0.8907316129107118,7.558934215273393
28,1254,93464,1224,767,23,3267,4,0.8915692199979184,7.553691679345775
29,1272,93190,1271,787,25,3454,4,0.8923879991496391,7.548145160885732
30,1328,92881,1271,801,35,3683,4,0.8932628925652958,7.542761900857217
31,1417,92552,1259,825,36,3910,4,0.8940963279584744,7.537044790684657
32,1495,92212,1290,853,37,4112,4,0.8949829916171652,7.5313445203357565
